code,title,location
ACR301,International and Comparative Criminal Justice,Burwood (Melbourne)
ACR302,Criminology Research,Burwood (Melbourne)
ACR303,Criminology Practicum,Burwood (Melbourne)
ACR304,"Crime, Surveillance and Society",Burwood (Melbourne)
ACR305,"Crime, Terrorism and Security",Burwood (Melbourne)
ACV101,Painting in the Visual Arts,Burwood (Melbourne)
ACV115,Drawing and the Body in Visual Arts,Burwood (Melbourne)
ACV205,Contemporary Art Practice: Pluralism,Burwood (Melbourne)
ACV206,Contemporary Art Practice: Abstraction,Burwood (Melbourne)
ACV207,Materialising the Image: Visual Art and Photography Since 1989,Burwood (Melbourne)
ACV210,Integrated Practice 1,Burwood (Melbourne)
ACV214,Art and Technology,Burwood (Melbourne)
ACV307,Contemporary Art Practice: Research,Burwood (Melbourne)
ACV310,Artist's Books Studio,Burwood (Melbourne)
ACV311,Art in the Postdigital Age,Burwood (Melbourne)
ACV312,Contemporary Art Practice: Production,Burwood (Melbourne)
ACX701,Communication Concepts,Burwood (Melbourne)
ACX702,Applied Research Methods for Communication,Burwood (Melbourne)
ACX703,Developing a Communication Research Project,Burwood (Melbourne)
ACX704,Academic Research Project 1,Burwood (Melbourne)
ACX705,Academic Research Project 2,Burwood (Melbourne)
ACX706,Academic Research Project 3,Burwood (Melbourne)
ACX707,Professional Research Project 1,Burwood (Melbourne)
ACX708,Professional Research Project 2,Burwood (Melbourne)
ADA101,Designing 3D Motion,Burwood (Melbourne)
ADA102,Designing 3D Environments,Burwood (Melbourne)
ADA201,Creating 3D Characters,Burwood (Melbourne)
ADA202,"Animation, Performance and Capture",Burwood (Melbourne)
ADA203,Interactive Animation Design Studio,Burwood (Melbourne)
ADA204,Motion Graphics for Film and Advertising,Burwood (Melbourne)
ADD101,Design Thinking,Burwood (Melbourne)
ADD102,Design Skills and Technologies 1,Burwood (Melbourne)
ADD103,Design Skills and Technologies 2,Burwood (Melbourne)
ADD104,Design Laboratory,Burwood (Melbourne)
ADD201,Designing User Experience,Burwood (Melbourne)
ADD202,Design Strategies,Burwood (Melbourne)
ADD203,Professional Practice in Design,Burwood (Melbourne)
ADD301,Collaborative Design Project,Burwood (Melbourne)
ADD302,Individual Design Portfolio,Burwood (Melbourne)
ADD303,Design to Change the World,Burwood (Melbourne)
ADT201,Digital Technologies Design Studio,Burwood (Melbourne)
ADV101,Drawing and Illustration,Burwood (Melbourne)
ADV102,Typography and Publication Design,Burwood (Melbourne)
ADV201,Web Design and Interactivity,Burwood (Melbourne)
ADV202,Branding Design,Burwood (Melbourne)
ADV203,Visual Communication Design Studio,Burwood (Melbourne)
AGS101,Sex and Gender: Ideas That Changed the World,Burwood (Melbourne)
AGS102,Histories of Sex and Gender,Burwood (Melbourne)
AGS200,Cultural Studies of Sex and Gender,Burwood (Melbourne)
AGS300,Theories of Sex and Gender,Burwood (Melbourne)
AHA716,Humanitarian Settlement,Burwood (Melbourne)
AHA721,Dynamics and Dilemmas of the Humanitarian Sector,Burwood (Melbourne)
AHA722,Applied Humanitarian Assistance: From Theory to Practice,Burwood (Melbourne)
AHA723,Fundamentals of Humanitarian Management,Burwood (Melbourne)
AHA724,Disaster Risk Reduction and Management in Humanitarian Contexts,Burwood (Melbourne)
AHA725,Project and Financial Management in Humanitarian Contexts,Burwood (Melbourne)
AHL701,The Humanitarian World,Burwood (Melbourne)
AIA105,Visions of Australia: Time and Space From 1700 to 2010,Burwood (Melbourne)
AIB151,Arabic 1A,Burwood (Melbourne)
AIB152,Arabic 1B,Burwood (Melbourne)
AIB251,Arabic 2A,Burwood (Melbourne)
AIB252,Arabic 2B,Burwood (Melbourne)
AIB351,Arabic 3A,Burwood (Melbourne)
AIB352,Arabic 3B,Burwood (Melbourne)
AIC181,Chinese 1A,Burwood (Melbourne)
AIC182,Chinese 1B,Burwood (Melbourne)
AIC281,Chinese 2A,Burwood (Melbourne)
AIC282,Chinese 2B,Burwood (Melbourne)
AIC283,Chinese 2C,Burwood (Melbourne)
AIC284,Chinese 2D,Burwood (Melbourne)
