code,title,location
ECE455,Effective Primary Mathematics Learning,Burwood (Melbourne)
ECE703,"Early Childhood Language, Literacy and Mathematics",Burwood (Melbourne)
ECE761,"Early Childhood Pedagogy, Curricula and Contexts",Burwood (Melbourne)
ECE762,Language and Literacy,Burwood (Melbourne)
ECE763,Science and Environmental Awareness,Burwood (Melbourne)
ECE764,Young Children's Mathematics,Burwood (Melbourne)
ECL210,Multiliterate Learners in Early Years Environments,Burwood (Melbourne)
ECL306,Teaching and Learning Languages in Primary Contexts,Burwood (Melbourne)
ECL307,Introduction to the International Baccalaureate Primary Years Programme (IBPYP),Burwood (Melbourne)
ECL310,Multiliterate Learners in Middle Years Environments,Burwood (Melbourne)
ECL350,Teaching EAL/D Students,Burwood (Melbourne)
ECL410,Literacy Teacher - Researchers in New Times,Burwood (Melbourne)
ECL461,English Education A,Burwood (Melbourne)
ECL462,English Education B,Burwood (Melbourne)
ECL761,English Curriculum Inquiry,Burwood (Melbourne)
ECL762,English Curriculum Inquiry Senior Years,Burwood (Melbourne)
ECP128,Professional Knowledge (0-2 Years),Burwood (Melbourne)
ECP227,Professional Practice 1 (3-5 Years),Burwood (Melbourne)
ECP228,Professional Practice 2 (3-5 Years),Burwood (Melbourne)
ECP303,Child Protection,Burwood (Melbourne)
ECP327,Professional Engagement 1 (Primary School 1),Burwood (Melbourne)
ECP400,Building Leadership Capacity in the School and Wider Community,Burwood (Melbourne)
ECP410,Professional Teaching Practice and Child Study (0-3 Years),Burwood (Melbourne)
ECP427,Professional Engagement 2 (Primary School 2),Burwood (Melbourne)
ECP711,Creativity and the Arts,Burwood (Melbourne)
ECP712,"Social, Physical and Emotional Health and Wellbeing",Burwood (Melbourne)
ECS471,History and Humanities: Curriculum Study A,Burwood (Melbourne)
ECS472,History and Humanities: Curriculum Study B,Burwood (Melbourne)
EDU101,"Education, Knowledge and Society",Burwood (Melbourne)
EDU102,"From Aristotle to ATARS: the History, Philosophy and Future of Education",Burwood (Melbourne)
EDU201,Educational Psychology,Burwood (Melbourne)
EDU202,Educators and Learners,Burwood (Melbourne)
EDU203,"Literacy, Numeracy and Education",Burwood (Melbourne)
EDU301,"Culture, Diversity and Participation in Education",Burwood (Melbourne)
EDU302,Education and Humanitarian Development,Burwood (Melbourne)
EDU303,"Education, Communication and Technology",Burwood (Melbourne)
EDX701,Research Design Development and Method,Burwood (Melbourne)
EDX703,Research Paper A,Burwood (Melbourne)
EDX704,Research Paper B,Burwood (Melbourne)
EDX705,Minor Thesis A,Burwood (Melbourne)
EDX706,Minor Thesis B,Burwood (Melbourne)
EDX707,Independent Research Project for Professional Practice,Burwood (Melbourne)
EDX712,Theory and Methodology in Education Research,Burwood (Melbourne)
EEA211,Navigating the Visual World,Burwood (Melbourne)
EEA311,Primary Arts Education: Focussed Study,Burwood (Melbourne)
EEE308,"Curriculum, Assessment and Reporting: Primary",Burwood (Melbourne)
EEE401,Professional Relationships,Burwood (Melbourne)
EEE402,Transition to Beginning Teaching,Burwood (Melbourne)
EEE752,Planning and Assessment with Diverse Learners,Burwood (Melbourne)
EEE753,Becoming a Professional Educator,Burwood (Melbourne)
EEE754,"Language, Literacy and Learning",Burwood (Melbourne)
EEE755,"Numeracy, Social Justice and New Pedagogies",Burwood (Melbourne)
EEE756,"Health, Wellbeing and Inclusive Education",Burwood (Melbourne)
EEG402,Teaching in a Global World,Burwood (Melbourne)
EEH101,Health and Physical Education Studies,Burwood (Melbourne)
EEH102,The Art and Science of Movement,Burwood (Melbourne)
EEH103,Foundations of Sport and Exercise Pedagogy and Practice,Burwood (Melbourne)
EEH116,Primary Physical Education,Burwood (Melbourne)
EEH202,Youth Health and Student Wellbeing,Burwood (Melbourne)
EEH217,Student Health and Wellbeing,Burwood (Melbourne)
EEH301,"Nutrition, Growth and Development for Health Educators",Burwood (Melbourne)
EEH302,Health and Physical Education in the Curriculum,Burwood (Melbourne)
EEH315,Teaching Sexuality and Relationship Education,Burwood (Melbourne)
EEH401,Professional Issues in Health and Physical Education,Burwood (Melbourne)
EEH403,Inclusivity and Diversity in HPE Movement Contexts,Burwood (Melbourne)
EEH404,Health: a Family and Community Focus,Burwood (Melbourne)
EEH405,Senior Physical Education: Curriculum Study,Burwood (Melbourne)
EEH406,Home Economics: Curriculum Study A,Burwood (Melbourne)
EEH407,Home Economics: Curriculum Study B,Burwood (Melbourne)
EEH455,Approaches to Teaching Health and Physical Education,Burwood (Melbourne)
EEH531,Promoting Student Wellbeing,Burwood (Melbourne)
EEH730,Promoting Student Wellbeing,Burwood (Melbourne)
EEI301,Personalising Learning: a Transdisciplinary Approach,Burwood (Melbourne)
EEI302,Role of Multimodal Therapies in Special Education,Burwood (Melbourne)
EEO211,Humanities Education in the 3-6 Primary Levels,Burwood (Melbourne)
EEO301,"Sustainability, Inquiry and Action - a Humanities Perspective",Burwood (Melbourne)
EEO311,Learners Living in Their World: Humanities Perspectives,Burwood (Melbourne)
EEO320,Humanities Education Across the Primary Levels,Burwood (Melbourne)
EEO410,Learners Inquiring in and About Their World: Human Disciplines,Burwood (Melbourne)
EEP202,Primary School Experience 2,Burwood (Melbourne)
EEP301,Primary School Experience 3,Burwood (Melbourne)
EEP302,Primary School Experience 4,Burwood (Melbourne)
EEP401,Primary School Experience 5,Burwood (Melbourne)
EEP402,Primary School Experience 6,Burwood (Melbourne)
EEP403,Primary School Experience 7,Burwood (Melbourne)
EES245,Primary Science Education 1,Burwood (Melbourne)
EES300,"Science, Technology, Engineering and Mathematics (STEM) Education",Burwood (Melbourne)
EES345,Primary Science Education 1,Burwood (Melbourne)
EES440,Primary Science Education 2,Burwood (Melbourne)
EHI701,History Curriculum Inquiry,Burwood (Melbourne)
EHI702,History Curriculum Inquiry Senior Years,Burwood (Melbourne)
EHU701,Humanities Curriculum Inquiry,Burwood (Melbourne)
EHU702,Humanities Curriculum Inquiry Senior Years,Burwood (Melbourne)
EHU703,Humanities Critical Inquiry 7 - 10,Burwood (Melbourne)
EHU704,Humanities Research Inquiry Senior Years,Burwood (Melbourne)
EIE701,Personalising Learning,Burwood (Melbourne)
EIE702,Teaching and Learning in the Inclusive Classroom,Burwood (Melbourne)
EIE703,Designing Engagement for Learning,Burwood (Melbourne)
EIE704,Supporting Communication in Inclusive Classrooms,Burwood (Melbourne)
ELL101,Language: Speech and Sounds,Burwood (Melbourne)
ELL102,Language: Words and Structure,Burwood (Melbourne)
EPL746,Primary Literacy,Burwood (Melbourne)
EPM742,Primary Mathematical Development,Burwood (Melbourne)
EPO701,Primary Humanities,Burwood (Melbourne)
EPP101,Teacher-Learner Identity,Burwood (Melbourne)
EPP102,Learning-Teaching Communities,Burwood (Melbourne)
EPP203,Professional Experience in Health and Physical Education: Curriculum Study A,Burwood (Melbourne)
EPP204,"Understanding Learning, Learners and Classroom Relationships",Burwood (Melbourne)
EPP303,Health and Physical Education:  Curriculum Study B,Burwood (Melbourne)
EPP304,Ways of Knowing Children and Adolescents,Burwood (Melbourne)
EPP305,"Policy, Schooling and Society",Burwood (Melbourne)
EPP401,Curriculum Assessment and Policy in Contemporary Schooling,Burwood (Melbourne)
EPP405,Professional Identity and Curriculum Work,Burwood (Melbourne)
EPP406,Professional Identity and Curriculum Work,Burwood (Melbourne)
EPR711,Planning for Learning in Professional Experience,Burwood (Melbourne)
EPR712,Building Capacity in Professional Experience,Burwood (Melbourne)
EPR713,Reflecting On Practice in Professional Experience,Burwood (Melbourne)
EPR714,Curriculum Inquiry in Professional Experience: Education and Care Birth to Three,Burwood (Melbourne)
EPR721,Orientation to the Teaching Profession,Burwood (Melbourne)
EPR722,Building Capacity in Professional Experience,Burwood (Melbourne)
EPR723,Reflecting On Practice in Professional Experience,Burwood (Melbourne)
EPR731,Orientation to the Teaching Profession,Burwood (Melbourne)
EPR732,Building Capacity in Professional Experience,Burwood (Melbourne)
EPR733,Reflecting On Practice in Professional Experience,Burwood (Melbourne)
EPR741,Planning for Learning in Professional Experience,Burwood (Melbourne)
EPR742,Building Capacity in Professional Experience,Burwood (Melbourne)
EPR751,Orientation to the Teaching Profession,Burwood (Melbourne)
EPR752,Building Capacity in Professional Experience,Burwood (Melbourne)
EPR761,Orientation to the Teaching Profession,Burwood (Melbourne)
EPR771,Orientation to the Teaching Profession,Burwood (Melbourne)
EPS735,Primary Science and Technology Education,Burwood (Melbourne)
ESH403,Senior Health and Human Development: Curriculum Study,Burwood (Melbourne)
ESH702,Health Curriculum Inquiry,Burwood (Melbourne)
ESJ460,Studies in Curriculum (Senior Chemistry or TESOL B),Burwood (Melbourne)
ESM211,Children and Mathematics: Developing Mathematical Concepts,Burwood (Melbourne)
ESM303,Primary Mathematics Lesson Study,Burwood (Melbourne)
ESM310,Teachers and Mathematics: Creating An Effective Classroom,Burwood (Melbourne)
ESM424,Mathematics: Curriculum Study,Burwood (Melbourne)
ESM425,Senior Mathematics: Curriculum Study,Burwood (Melbourne)
ESM724,Mathematics Curriculum Inquiry,Burwood (Melbourne)
ESM725,Mathematics Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESP202,Senior Psychology A: Curriculum Study,Burwood (Melbourne)
ESP203,Senior Psychology B: Curriculum Study,Burwood (Melbourne)
ESS415,Resources in the Contemporary Science Curriculum,Burwood (Melbourne)
ESS439,Issues in Science and Environmental Education,Burwood (Melbourne)
ESS441,Environmental Science and Society: Curriculum Study,Burwood (Melbourne)
ESS442,Senior Environmental Science: Curriculum Study,Burwood (Melbourne)
ESS444,Science: Curriculum Study,Burwood (Melbourne)
ESS467,Senior Biology: Curriculum Study,Burwood (Melbourne)
ESS701,Psychology Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESS741,Sustainability and Environmental Education,Burwood (Melbourne)
ESS742,Environmental Science Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESS744,Science Curriculum Inquiry,Burwood (Melbourne)
ESS745,Physics Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESS755,General Science Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESS767,Biology Curriculum Inquiry Senior Years,Burwood (Melbourne)
ESS768,Chemistry Curriculum Inquiry Senior Years,Burwood (Melbourne)
EST400,Primary Technology Education: Creativity and Design,Burwood (Melbourne)
ETL700,Pedagogy for EAL Classrooms,Burwood (Melbourne)
ETL701,TESOL Method,Burwood (Melbourne)
ETL702,Linguistics for Second Language Teachers,Burwood (Melbourne)
ETL703,Intercultural Communication in Language Classrooms,Burwood (Melbourne)
ETL704,Innovation in Language Curriculum,Burwood (Melbourne)
ETL705,Pedagogic Grammar,Burwood (Melbourne)
ETL708,Language Teaching in Practice,Burwood (Melbourne)
ETL709,Multilingualism and Multilingual Education in Global Contexts,Burwood (Melbourne)
ETL710,Teaching and Learning in Languages Classrooms,Burwood (Melbourne)
ETL711,Learning An Additional Language,Burwood (Melbourne)
ETL712,Discourse Analysis for Language Teaching,Burwood (Melbourne)
ETL713,Learning Global English in Diverse Social Contexts,Burwood (Melbourne)
ETL714,Language Testing and Assessment,Burwood (Melbourne)
ETL715,Internationalising the Curriculum,Burwood (Melbourne)
ETL716,CLIL Pedagogy,Burwood (Melbourne)
ETP101,Perspectives On Learning and Teachers' Work,Burwood (Melbourne)
ETP102,Social Contexts of Education,Burwood (Melbourne)
ETP200,Classroom Relationships,Burwood (Melbourne)
ETP300,Educating Students with Additional Needs,Burwood (Melbourne)
ETP303,Curriculum and Pedagogy,Burwood (Melbourne)
ETP400,Assessment: Ways of Knowing Learners,Burwood (Melbourne)
ETP401,Assessment: Ways of Knowing Learners,Burwood (Melbourne)
ETP402,University-To-Work Transition,Burwood (Melbourne)
ETP403,University-To-Work Transition,Burwood (Melbourne)
ETS301,Pedagogy - Middle Years (7-10),Burwood (Melbourne)
ETS302,Curriculum Inquiry - Middle Years (7-10),Burwood (Melbourne)
EXE723,Curriculum and Assessment Design,Burwood (Melbourne)
EXE734,New Technologies in Education and Training,Burwood (Melbourne)
HBS107,Understanding Health,Burwood (Melbourne)
HBS109,Introduction to Anatomy and Physiology,Burwood (Melbourne)
HBS110,Health Behaviour,Burwood (Melbourne)
HBS345,Collaborative Practice in Healthcare,Burwood (Melbourne)
HBS400,Research Methods,Burwood (Melbourne)
HDS101,Communication and Diversity,Burwood (Melbourne)
HDS106,"Diversity, Disability and Social Inclusion",Burwood (Melbourne)
HDS209,Inclusive Services,Burwood (Melbourne)
HDS210,Diversity At Work,Burwood (Melbourne)
HDS301,The Inclusive Practitioner,Burwood (Melbourne)
HDS310,Human Rights and Advocacy,Burwood (Melbourne)
HME704,Fundamentals of Health Informatics,Burwood (Melbourne)
HME711,Health Law and Ethics,Burwood (Melbourne)
HMM101,Introduction to Medical Biotechnology,Burwood (Melbourne)
HMM102,Principles of Gene and Genomic Technology,Burwood (Melbourne)
HMM103,Cell Technology,Burwood (Melbourne)
HMM201,Medical Nanotechnology,Burwood (Melbourne)
HMM202,Molecular Diagnostics,Burwood (Melbourne)
HMM204,Haematology and Immunology,Burwood (Melbourne)
HMM301,Principles of Pharmacology,Burwood (Melbourne)
HMM302,Innovations in Medical Biotechnology,Burwood (Melbourne)
HMM303,Emerging Infectious Diseases and Their Control,Burwood (Melbourne)
HMM304,Therapeutic Development,Burwood (Melbourne)
HMM305,Cell and Tissue Engineering,Burwood (Melbourne)
HNM101,Partnerships in Midwifery Care 1,Burwood (Melbourne)
HNM102,Partnerships in Midwifery Care 2,Burwood (Melbourne)
HNM201,Partnerships in Midwifery Care 3,Burwood (Melbourne)
HNM202,Collaboration in Midwifery Care,Burwood (Melbourne)
HNM310,Midwifery Practice 1,Burwood (Melbourne)
HNM311,Midwifery Practice 2,Burwood (Melbourne)
HNM313,Complexities in Midwifery Care,Burwood (Melbourne)
HNM314,Primary Midwifery Practice,Burwood (Melbourne)
HNM323,Challenges in Infant Care,Burwood (Melbourne)
HNM701,"The Woman During Pregnancy, Labour and Birth",Burwood (Melbourne)
HNM702,The Woman and Newborn Infant,Burwood (Melbourne)
HNM703,Contexts of Midwifery Practice,Burwood (Melbourne)
HNM704,Clinical Challenges in Maternity Care,Burwood (Melbourne)
HNM705,Clinical Challenges in Infant Care,Burwood (Melbourne)
HNN021,Nursing Practice in Australia,Burwood (Melbourne)
HNN025,Clinical Practicum,Burwood (Melbourne)
HNN026,Legal Ethical and Contemporary Issues in Australian Nursing Practice,Burwood (Melbourne)
HNN108,Understanding Research Evidence,Burwood (Melbourne)
HNN112,Quality and Safety: Nursing Practice 1,Burwood (Melbourne)
HNN114,Health Assessment,Burwood (Melbourne)
HNN120,Quality and Safety in Health Care,Burwood (Melbourne)
HNN122,Quality and Safety: Nursing Practice 2,Burwood (Melbourne)
HNN208,Perspectives on Leadership and Management,Burwood (Melbourne)
HNN210,Perspectives on Research Leadership,Burwood (Melbourne)
HNN215,Quality Use of Medicines,Burwood (Melbourne)
HNN217,Community Nursing Practice,Burwood (Melbourne)
HNN222,Mental Health and Illness,Burwood (Melbourne)
HNN227,Quality and Safety: Nursing Practice 3,Burwood (Melbourne)
HNN300,Child and Adolescent Health,Burwood (Melbourne)
HNN301,Mental Health Promotion,Burwood (Melbourne)
HNN318,The Older Person and Supportive Care,Burwood (Melbourne)
HNN319,Chronic Illness and Supportive Care,Burwood (Melbourne)
HNN320,Leadership and Clinical Governance,Burwood (Melbourne)
HNN321,Perspectives on Educational Leadership,Burwood (Melbourne)
HNN325,Comprehensive Nursing Practice,Burwood (Melbourne)
HNR410,Research Project 1,Burwood (Melbourne)
HNR411,Research Project 2,Burwood (Melbourne)
HNR412,Research Planning in Nursing,Burwood (Melbourne)
HPS104,Foundations of Psychological Science,Burwood (Melbourne)
HPS105,Foundations of Psychological Practice,Burwood (Melbourne)
HPS111,Psychology A: Fundamentals of Human Behaviour,Burwood (Melbourne)
HPS121,Psychology B: Individual and Social Development,Burwood (Melbourne)
HPS201,Research Methods in Psychology A,Burwood (Melbourne)
HPS202,Child and Adolescent Development,Burwood (Melbourne)
HPS203,The Human Mind,Burwood (Melbourne)
HPS204,Human Social Behaviour,Burwood (Melbourne)
HPS206,Introduction to Forensic Psychology,Burwood (Melbourne)
HPS207,Preparing for Employment,Burwood (Melbourne)
HPS209,Cross Cultural and Indigenous Psychology,Burwood (Melbourne)
HPS226,Applied Health Psychology,Burwood (Melbourne)
HPS301,Research Methods in Psychology B,Burwood (Melbourne)
HPS302,Pathways Through Adulthood,Burwood (Melbourne)
HPS304,The Social Psychology of Relationships,Burwood (Melbourne)
HPS307,Personality,Burwood (Melbourne)
HPS308,Psychopathology,Burwood (Melbourne)
HPS310,"Brain, Biology and Behaviour",Burwood (Melbourne)
HPS325,Addiction,Burwood (Melbourne)
HPS327,Research Methods Capstone,Burwood (Melbourne)
HPS395,Cognitive Neuroscience,Burwood (Melbourne)
HPS431,Psychological Assessment,Burwood (Melbourne)
HPS432,Research Methods in Psychology C,Burwood (Melbourne)
HPS433,Client-Centred Skills in Practice,Burwood (Melbourne)
HPS434,Research Methods in Psychology D,Burwood (Melbourne)
HPS435,Research Project A,Burwood (Melbourne)
HPS436,Research Project B,Burwood (Melbourne)
HPS705,Advanced Clinical Assessment,Burwood (Melbourne)
HPS706,Clinical Placement and Case Analysis 1,Burwood (Melbourne)
HPS707,Advanced and Applied Research Methods,Burwood (Melbourne)
HPS708,Psychological Intervention 2,Burwood (Melbourne)
HPS709,Clinical Placement and Case Analysis 2,Burwood (Melbourne)
HPS711,Psychological Intervention 3,Burwood (Melbourne)
HPS712,Clinical Placement and Case Analysis 3,Burwood (Melbourne)
HPS714,Studies in Psychopathology,Burwood (Melbourne)
HPS715,Psychological Assessment,Burwood (Melbourne)
HPS721,Organisational Development and Change Management,Burwood (Melbourne)
HPS722,"Facilitation, Training and Evaluation in Organisations",Burwood (Melbourne)
HPS723,Organisational Placement 1,Burwood (Melbourne)
HPS724,Applied Methodology for Organisational Analysis,Burwood (Melbourne)
HPS725,Organisational Placement 2,Burwood (Melbourne)
HPS726,An Introduction to Organisational Psychology,Burwood (Melbourne)
HPS727,Organisational Intervention Strategies and Skills,Burwood (Melbourne)
HPS728,Organisational Placement 3,Burwood (Melbourne)
HPS730,Occupational Health and Wellbeing,Burwood (Melbourne)
HPS742,Research Methods in Psychology C,Burwood (Melbourne)
HPS758,Psychological Assessment in Organisations,Burwood (Melbourne)
HPS759,Issues in Professional Organisational Psychology,Burwood (Melbourne)
HPS766,Research Thesis A,Burwood (Melbourne)
HPS767,Research Thesis B,Burwood (Melbourne)
HPS771,Research Methods in Psychology A,Burwood (Melbourne)
HPS772,Child and Adolescent Development,Burwood (Melbourne)
HPS773,The Human Mind,Burwood (Melbourne)
HPS774,Human Social Behaviour,Burwood (Melbourne)
HPS775,"Brain, Biology and Behaviour",Burwood (Melbourne)
HPS776,Issues in Professional Psychology,Burwood (Melbourne)
HPS777,Psychological Intervention 1,Burwood (Melbourne)
HPS778,Biological and Neuropsychological Perspectives on Disorder,Burwood (Melbourne)
HPS779,Psychological Assessment,Burwood (Melbourne)
HPS781,Research Methods in Psychology B,Burwood (Melbourne)
HPS785,Research Thesis A,Burwood (Melbourne)
HPS787,Research Thesis C,Burwood (Melbourne)
HPS788,Psychopathology,Burwood (Melbourne)
HPS791,Personality,Burwood (Melbourne)
HPS792,Research Thesis B,Burwood (Melbourne)
HPS793,Research Thesis C,Burwood (Melbourne)
HPS794,Research Thesis D,Burwood (Melbourne)
HPS907,Advanced and Applied Research Methods,Burwood (Melbourne)
HPS908,Psychological Intervention 2,Burwood (Melbourne)
HPS914,Studies in Psychopathology,Burwood (Melbourne)
HPS928,Research Thesis E,Burwood (Melbourne)
HPS976,Issues in Professional Psychology,Burwood (Melbourne)
HPS977,Psychological Intervention 1,Burwood (Melbourne)
HPS978,Biological and Neuropsychological Perspectives on Disorder,Burwood (Melbourne)
HPY210,Coaching and Counselling for Behaviour Change,Burwood (Melbourne)
HPY701,"Leadership Assessment, Development and Coaching",Burwood (Melbourne)
HPY710,Client-Centred Skills in Practice,Burwood (Melbourne)
HPY711,Psychology A: Fundamentals of Human Behaviour,Burwood (Melbourne)
HPY712,Research Methods in Psychology D,Burwood (Melbourne)
HPY713,Psychology B: Individual and Social Development,Burwood (Melbourne)
HPY720,Research Project A,Burwood (Melbourne)
HPY721,Research Project B,Burwood (Melbourne)
HPY722,Practice and Ethics in Professional Psychology,Burwood (Melbourne)
HPY723,Psychological Assessment in Practice,Burwood (Melbourne)
HPY724,Psychological Interview and Intervention Strategies,Burwood (Melbourne)
HPY725,Professional Practicum A,Burwood (Melbourne)
HPY726,Psychological Practice Across the Lifespan,Burwood (Melbourne)
HPY727,Working with Diverse Populations,Burwood (Melbourne)
HPY728,Applied Methods for Professional Practice,Burwood (Melbourne)
HPY729,Professional Practicum B,Burwood (Melbourne)
HSE102,Functional Human Anatomy,Burwood (Melbourne)
HSE103,Essentials of Exercise Delivery,Burwood (Melbourne)
HSE104,Research Methods and Statistics in Exercise and Sport,Burwood (Melbourne)
HSE105,Principles of Sport Coaching,Burwood (Melbourne)
HSE110,Muscle Biology for Exercise Science,Burwood (Melbourne)
HSE111,Physical Activity and Exercise for Health,Burwood (Melbourne)
HSE113,"Human Growth, Development and Ageing for Exercise Scientists",Burwood (Melbourne)
HSE201,Exercise Physiology,Burwood (Melbourne)
HSE202,Biomechanics,Burwood (Melbourne)
HSE203,Exercise Behaviour,Burwood (Melbourne)
HSE204,Motor Learning and Development,Burwood (Melbourne)
HSE205,Advanced Sport Coaching Theory and Practice,Burwood (Melbourne)
HSE208,Integrated Human Physiology,Burwood (Melbourne)
HSE212,Physical Activity Promotion and Evaluation,Burwood (Melbourne)
HSE213,Children's Physical Activity and Sport,Burwood (Melbourne)
HSE301,Exercise Prescription for Fitness and Health,Burwood (Melbourne)
HSE302,Exercise Programming,Burwood (Melbourne)
HSE303,Exercise Metabolism,Burwood (Melbourne)
HSE304,Physiology of Sport Performance,Burwood (Melbourne)
HSE305,Issues in Sport Coaching,Burwood (Melbourne)
HSE309,Cognitive and Behavioural Aspects of Sport and Exercise,Burwood (Melbourne)
HSE311,Applied Sports Science 1,Burwood (Melbourne)
HSE314,Applied Sports Science 2,Burwood (Melbourne)
HSE316,Physical Activity and Population Health,Burwood (Melbourne)
HSE320,Exercise in Health and Disease,Burwood (Melbourne)
HSE321,Sport Coaching and Development Practicum,Burwood (Melbourne)
HSE323,Clinical and Sport Biomechanics,Burwood (Melbourne)
HSE329,Advanced Anatomy for Exercise Scientists,Burwood (Melbourne)
HSE330,Nutrition for Exercise Scientists,Burwood (Melbourne)
HSE331,Advanced Strength and Conditioning,Burwood (Melbourne)
HSE332,Global Perspectives in Physical Activity and Exercise for Health,Burwood (Melbourne)
HSE401,Developing Research Skills,Burwood (Melbourne)
HSE402,Honours Research Project,Burwood (Melbourne)
HSE702,Exercise Physiology for Neurological and Neuromuscular Disease,Burwood (Melbourne)
HSE703,Mental Health and Exercise Behaviour,Burwood (Melbourne)
HSE704,Exercise Physiology for Metabolic Disease,Burwood (Melbourne)
HSE705,Exercise Physiology for Cardiopulmonary Disease,Burwood (Melbourne)
HSE706,Research in Clinical Exercise Physiology,Burwood (Melbourne)
HSE707,Exercise Physiology for Musculoskeletal Injury and Disease,Burwood (Melbourne)
HSE709,Exercise Physiology Across the Lifespan,Burwood (Melbourne)
HSE711,Pre Clinical Practice 1,Burwood (Melbourne)
HSE712,Pre Clinical Practice 2,Burwood (Melbourne)
HSE714,Clinical Practicum 1,Burwood (Melbourne)
HSE715,Clinical Practicum 2,Burwood (Melbourne)
HSE717,Clinical Practicum 3,Burwood (Melbourne)
HSH102,Disease Prevention and Control,Burwood (Melbourne)
HSH103,Health Protection,Burwood (Melbourne)
HSH105,Understanding Families and Health,Burwood (Melbourne)
HSH112,Local and Global Environments for Health,Burwood (Melbourne)
HSH113,Social Perspectives on Population Health,Burwood (Melbourne)
HSH205,Epidemiology and Biostatistics 1,Burwood (Melbourne)
HSH206,Human Development and Healthy Families,Burwood (Melbourne)
HSH207,Socio-Economic Status and Health,Burwood (Melbourne)
HSH208,Health Communication,Burwood (Melbourne)
HSH212,Professional Practice,Burwood (Melbourne)
HSH216,Epidemiology and Biostatistics 2,Burwood (Melbourne)
HSH219,Population Health: A Research Perspective,Burwood (Melbourne)
HSH302,"Politics, Policy and Health",Burwood (Melbourne)
HSH306,"People, Health and Place",Burwood (Melbourne)
HSH313,Contemporary Health Issues,Burwood (Melbourne)
HSH319,Population Health: A Research Perspective,Burwood (Melbourne)
HSH323,"Program Planning, Management and Evaluation",Burwood (Melbourne)
HSH401,Developing Research Skills,Burwood (Melbourne)
HSH402,Honours Research Project,Burwood (Melbourne)
HSH701,Principles and Practice of Public Health,Burwood (Melbourne)
HSH702,Contemporary Health Issues and Policies,Burwood (Melbourne)
HSH703,Health Promotion,Burwood (Melbourne)
HSH704,Health Communication,Burwood (Melbourne)
HSH705,Needs Assessment and Health Program Planning,Burwood (Melbourne)
HSH709,Health and Social Impact Assessment,Burwood (Melbourne)
HSH715,Qualitative Health Research,Burwood (Melbourne)
HSH717,Health Economics 1,Burwood (Melbourne)
HSH719,Economic Evaluation 1,Burwood (Melbourne)
HSH724,Healthy Cities and Urban Communities,Burwood (Melbourne)
HSH725,Research Literacy for Health Practice,Burwood (Melbourne)
HSH728,Health Equity and Human Rights,Burwood (Melbourne)
HSH731,Minor Project A,Burwood (Melbourne)
HSH732,Minor Project B,Burwood (Melbourne)
HSH733,Major Project A,Burwood (Melbourne)
HSH734,Major Project B,Burwood (Melbourne)
HSH736,Community Consultation and Participation,Burwood (Melbourne)
HSH739,Global Health Policy and Planning,Burwood (Melbourne)
HSH744,Epidemiology 1,Burwood (Melbourne)
HSH745,Health Program Evaluation,Burwood (Melbourne)
HSH746,Biostatistics 1,Burwood (Melbourne)
HSH747,Biostatistics 2,Burwood (Melbourne)
HSH754,Epidemiology 2,Burwood (Melbourne)
HSH761,Health Technology Assessment 1,Burwood (Melbourne)
HSH762,Resource Allocation and Priority Setting,Burwood (Melbourne)
HSH763,Financing Health Care,Burwood (Melbourne)
HSH764,Economic Evaluation - Theory and Practice,Burwood (Melbourne)
HSH766,Economics and Health Policy Analysis,Burwood (Melbourne)
HSH768,Health Economics in a Global Context,Burwood (Melbourne)
HSH769,Comparative Health Systems,Burwood (Melbourne)
HSH946,Biostatistics 1,Burwood (Melbourne)
HSN101,"Foundations of Food, Nutrition and Health",Burwood (Melbourne)
HSN104,The Science of Food,Burwood (Melbourne)
HSN105,Healthy and Sustainable Food Systems,Burwood (Melbourne)
HSN106,Food Fundamentals,Burwood (Melbourne)
HSN107,Physiology of Human Growth and Development,Burwood (Melbourne)
HSN202,Lifespan Nutrition,Burwood (Melbourne)
HSN204,Food Safety,Burwood (Melbourne)
HSN206,Food Analysis and Quality Assurance,Burwood (Melbourne)
HSN210,Nutrition and Food Promotion,Burwood (Melbourne)
HSN211,Nutritional Physiology,Burwood (Melbourne)
HSN223,Sensory Evaluation of Food,Burwood (Melbourne)
HSN301,Diet and Disease,Burwood (Melbourne)
HSN305,Assessing Food Intake and Activity,Burwood (Melbourne)
HSN307,Sports Nutrition: Theory and Practice,Burwood (Melbourne)
HSN309,Food Policy and Regulation,Burwood (Melbourne)
HSN315,Food Manufacturing and Process Innovation,Burwood (Melbourne)
HSN319,Consumer and Sensory Innovation of Food,Burwood (Melbourne)
HSN320,Trends in Product Development,Burwood (Melbourne)
HSN414,Honours Research Project,Burwood (Melbourne)
HSN701,Principles of Nutrition,Burwood (Melbourne)
HSN702,Lifespan Nutrition,Burwood (Melbourne)
HSN703,Diet and Disease,Burwood (Melbourne)
HSN705,Public Health Nutrition,Burwood (Melbourne)
HSN706,Food Policy and Public Health,Burwood (Melbourne)
HSN708,Nutrition Promotion,Burwood (Melbourne)
