code,title,campus,semester,year
ANTH 2054,The Sexual Body,North Terrace Campus,Semester 1,2015
ANTH 2055,"Native Title Anthropology: Society, Law & Practice",North Terrace Campus,Summer,2015
ANTH 2056,Visual and Media Anthropology,North Terrace Campus,Semester 2,2015
ANTH 3100,"Anthropology Today: Experience, Power, Practice",North Terrace Campus,Semester 2,2015
ANTH 4001,Honours Anthropological Theory,North Terrace Campus,Semester 1,2015
ANTH 4002,Honours Anthropology Ethnographic Fieldwork,North Terrace Campus,Semester 1,2015
ANTH 4003,Honours Anthropology Thesis,North Terrace Campus,Semester 2,2015
ANTH 4004A,Honours Anthropology Thesis Two Year Continuing,North Terrace Campus,Semester 1,2015
ANTH 4004A,Honours Anthropology Thesis Two Year Continuing,North Terrace Campus,Semester 2,2015
ANTH 4004B,Honours Anthropology Thesis Two Year Final,North Terrace Campus,Semester 2,2015
ANTH 4004B,Honours Anthropology Thesis Two Year Final,North Terrace Campus,Semester 1,2015
ANTH 1104,Culture & Society: Foundations of Anthropology,North Terrace Campus,Semester 2,2014
ANTH 1105,Anthropology of Everyday Life,North Terrace Campus,Semester 1,2014
ANTH 2036,Anthropology of Conflict and Crisis,North Terrace Campus,Semester 1,2014
ANTH 2037,"Anthropology of Emotion, Mind and Person",North Terrace Campus,Semester 1,2014
ANTH 2041,"Popular Culture: Passion, Style, Vibe",North Terrace Campus,Semester 2,2014
ANTH 2042,Consuming Passions: Anthropology of Food and Drink,North Terrace Campus,Summer,2014
ANTH 2053,"Life, Death and Culture",North Terrace Campus,Semester 2,2014
ANTH 2055,"Native Title Anthropology: Society, Law & Practice",North Terrace Campus,Summer,2014
ANTH 3100,"Anthropology Today: Experience, Power, Practice",North Terrace Campus,Semester 2,2014
ARTS 1007,The Enquiring Mind,North Terrace Campus,Semester 2,2019
ARTS 1007,The Enquiring Mind,North Terrace Campus,Summer,2019
ARTS 1007,The Enquiring Mind,North Terrace Campus,Semester 1,2019
ARTS 1007OL,The Enquiring Mind,Online,Summer,2019
ARTS 1007OL,The Enquiring Mind,Online,Winter,2019
ARTS 1008,The Enquiring Mind - Arts Advanced,North Terrace Campus,Semester 1,2019
ARTS 1008,The Enquiring Mind - Arts Advanced,North Terrace Campus,Semester 2,2019
ARTS 1010EX,Arts Festival Internship 1,External,Summer,2019
ARTS 2002,Complex Problem Solving,North Terrace Campus,Semester 1,2019
ARTS 2003,Science as a Social Enterprise,North Terrace Campus,Semester 1,2019
