code,title,campus,semester,year
ITAL 3202,Upper Intermediate Italian Part 2,North Terrace Campus,Semester 2,2018
ITAL 3211,Italian Cultural Studies,North Terrace Campus,Semester 1,2018
ITAL 3213,Translation from Italian,North Terrace Campus,Semester 2,2018
ITAL 3301,Advanced Italian Part 1,North Terrace Campus,Semester 1,2018
ITAL 3302,Advanced Italian Part 2,North Terrace Campus,Semester 2,2018
ITAL 1201,Introductory Italian Part 1,North Terrace Campus,Semester 1,2017
ITAL 1202,Introductory Italian Part 2,North Terrace Campus,Semester 2,2017
ITAL 2201,Intermediate Italian Part 1,North Terrace Campus,Semester 1,2017
ITAL 2202,Intermediate Italian Part 2,North Terrace Campus,Semester 2,2017
ITAL 2213,Italian Theatre,North Terrace Campus,Semester 1,2017
ITAL 3201,Upper Intermediate Italian Part 1,North Terrace Campus,Semester 1,2017
ITAL 3202,Upper Intermediate Italian Part 2,North Terrace Campus,Semester 2,2017
ITAL 3215,The Italian Mafia: Origin and Representations,Flinders University,Semester 1,2017
ITAL 3301,Advanced Italian Part 1,North Terrace Campus,Semester 1,2017
ITAL 3302,Advanced Italian Part 2,North Terrace Campus,Semester 2,2017
ITAL 3403,Italian Migration to Australia,North Terrace Campus,Semester 2,2017
ITAL 1201,Introductory Italian Part 1,North Terrace Campus,Semester 1,2016
ITAL 1202,Introductory Italian Part 2,North Terrace Campus,Semester 2,2016
ITAL 2201,Intermediate Italian Part 1,North Terrace Campus,Semester 1,2016
ITAL 2202,Intermediate Italian Part 2,North Terrace Campus,Semester 2,2016
ITAL 2212,Italian Culture and Society Part 2,Flinders University,Semester 2,2016
ITAL 2213,Italian Theatre,Flinders University,Semester 1,2016
ITAL 3201,Upper Intermediate Italian Part 1,North Terrace Campus,Semester 1,2016
ITAL 3202,Upper Intermediate Italian Part 2,North Terrace Campus,Semester 2,2016
ITAL 3211,Italian Cultural Studies,Flinders University,Semester 2,2016
ITAL 3214,Italian Cinema,North Terrace Campus,Semester 1,2016
ITAL 3301,Advanced Italian Part 1,North Terrace Campus,Semester 1,2016
ITAL 3302,Advanced Italian Part 2,North Terrace Campus,Semester 2,2016
ITAL 3403,Italian Migration to Australia,North Terrace Campus,Semester 2,2016
ITAL 1201,Introductory Italian Part 1,North Terrace Campus,Semester 1,2015
ITAL 1202,Introductory Italian Part 2,North Terrace Campus,Semester 2,2015
ITAL 2201,Intermediate Italian Part 1,North Terrace Campus,Semester 1,2015
ITAL 2202,Intermediate Italian Part 2,North Terrace Campus,Semester 2,2015
ITAL 2211,Italian Culture and Society Part 1,Flinders University,Semester 1,2015
ITAL 2212,Italian Culture and Society Part 2,North Terrace Campus,Semester 2,2015
ITAL 3201,Upper Intermediate Italian Part 1,North Terrace Campus,Semester 1,2015
ITAL 3202,Upper Intermediate Italian Part 2,North Terrace Campus,Semester 2,2015
ITAL 3211,Italian Cultural Studies Part 1,North Terrace Campus,Semester 2,2015
ITAL 3213,Translation from Italian,North Terrace Campus,Semester 2,2015
ITAL 3214,Italian Cinema,Flinders University,Semester 1,2015
ITAL 3215,The Italian Mafia: Origin and Representations,Flinders University,Semester 2,2015
ITAL 3301,Advanced Italian Part 1,North Terrace Campus,Semester 1,2015
ITAL 3302,Advanced Italian Part 2,North Terrace Campus,Semester 2,2015
ITAL 3403,Italian Migration to Australia,North Terrace Campus,Semester 1,2015
ITAL 1201,Introductory Italian Part 1,North Terrace Campus,Semester 1,2014
ITAL 1202,Introductory Italian Part 2,North Terrace Campus,Semester 2,2014
ITAL 2201,Intermediate Italian Part 1,North Terrace Campus,Semester 1,2014
ITAL 2202,Intermediate Italian Part 2,North Terrace Campus,Semester 2,2014
ITAL 2211,Italian Culture and Society Part 1,Flinders University,Semester 1,2014
ITAL 2212,Italian Culture and Society Part 2,North Terrace Campus,Semester 2,2014
ITAL 2213,Italian Theatre,Flinders University,Semester 2,2014
ITAL 3201,Upper Intermediate Italian Part 1,North Terrace Campus,Semester 1,2014
ITAL 3202,Upper Intermediate Italian Part 2,North Terrace Campus,Semester 2,2014
ITAL 3214,Italian Cinema,Flinders University,Semester 1,2014
ITAL 3215,The Italian Mafia: Origin and Representations,North Terrace Campus,Semester 2,2014
ITAL 3301,Advanced Italian Part 1,North Terrace Campus,Semester 1,2014
ITAL 3302,Advanced Italian Part 2,North Terrace Campus,Semester 2,2014
ITAL 3403,Italian Migration to Australia,North Terrace Campus,Semester 1,2014
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2019
JAPN 1001,Japanese IA,North Terrace Campus,Winter,2019
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2019
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2019
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2019
JAPN 2214EX,Japanese In-Country Summer School,External,Summer,2019
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2019
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2019
JAPN 3203,Japanese IIISB: Practical Japanese,North Terrace Campus,Semester 2,2019
JAPN 3223EX,Japanese In-Country Summer School,External,Summer,2019
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2018
JAPN 1001,Japanese IA,North Terrace Campus,Winter,2018
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2018
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2018
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2018
JAPN 2214EX,Japanese In-Country Summer School,External,Summer,2018
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2018
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2018
JAPN 3203,Japanese IIIB: Practical Japanese,North Terrace Campus,Semester 2,2018
JAPN 3223EX,Japanese In-Country Summer School,External,Summer,2018
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2017
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2017
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2017
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2017
JAPN 2214,Japanese In-Country Summer School,North Terrace Campus,Summer,2017
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2017
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2017
JAPN 3203,Japanese IIIB: Practical Japanese,North Terrace Campus,Semester 2,2017
JAPN 3211,Japanese IIISA,North Terrace Campus,Semester 1,2017
JAPN 3212,Japanese IIISB,North Terrace Campus,Semester 2,2017
JAPN 3223,Japanese In-Country Summer School,North Terrace Campus,Summer,2017
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2016
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2016
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2016
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2016
JAPN 2214,Japanese In-Country Summer School,North Terrace Campus,Summer,2016
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2016
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2016
JAPN 3203,Japanese IIIB: Practical Japanese,North Terrace Campus,Semester 2,2016
JAPN 3211,Intermediate Japanese A,North Terrace Campus,Semester 1,2016
JAPN 3212,Intermediate Japanese B,North Terrace Campus,Semester 2,2016
JAPN 3221,Advanced Japanese A,North Terrace Campus,Semester 1,2016
JAPN 3222,Advanced Japanese B,North Terrace Campus,Semester 2,2016
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2015
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2015
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2015
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2015
JAPN 2214,Japanese In-Country Summer School,North Terrace Campus,Summer,2015
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2015
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2015
JAPN 3203,Japanese IIIB: Practical Japanese,North Terrace Campus,Semester 2,2015
JAPN 3211,Intermediate Japanese A,North Terrace Campus,Semester 1,2015
JAPN 3212,Intermediate Japanese B,North Terrace Campus,Semester 2,2015
JAPN 3221,Advanced Japanese A,North Terrace Campus,Semester 1,2015
JAPN 3222,Advanced Japanese B,North Terrace Campus,Semester 2,2015
JAPN 1001,Japanese IA,North Terrace Campus,Semester 1,2014
JAPN 1002,Japanese IB,North Terrace Campus,Semester 2,2014
JAPN 2201,Japanese IIA,North Terrace Campus,Semester 1,2014
JAPN 2202,Japanese IIB,North Terrace Campus,Semester 2,2014
JAPN 2214EX,Japanese In-Country Summer School,External,Summer,2014
JAPN 3201,Japanese IIIA,North Terrace Campus,Semester 1,2014
JAPN 3202,Japanese IIIB,North Terrace Campus,Semester 2,2014
JAPN 3203,Japanese IIIB: Practical Japanese,North Terrace Campus,Semester 2,2014
JAPN 3211,Intermediate Japanese A,North Terrace Campus,Semester 1,2014
JAPN 3212,Intermediate Japanese B,North Terrace Campus,Semester 2,2014
JAPN 3221,Advanced Japanese A,North Terrace Campus,Semester 1,2014
JAPN 3222,Advanced Japanese B,North Terrace Campus,Semester 2,2014
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 2,2019
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2019
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 1,2019
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2019
MUSJAZZ 1010,Jazz History,North Terrace Campus,Semester 2,2019
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 2,2019
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 1,2019
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 2,2019
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 1,2019
MUSJAZZ 1101,Jazz Musicianship 1A,North Terrace Campus,Semester 1,2019
MUSJAZZ 1102,Jazz Musicianship 1B,North Terrace Campus,Semester 2,2019
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 2,2019
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2019
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 1,2019
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2019
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 2,2019
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 1,2019
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 2,2019
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 1,2019
MUSJAZZ 2101,Jazz Musicianship 2A,North Terrace Campus,Semester 1,2019
MUSJAZZ 2102,Jazz Musicianship 2B,North Terrace Campus,Semester 2,2019
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 2,2019
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2019
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2019
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 1,2019
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 2,2019
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 1,2019
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 2,2019
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 1,2019
MUSJAZZ 3101,Jazz Musicianship 3,North Terrace Campus,Semester 1,2019
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 2,2018
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2018
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2018
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 1,2018
MUSJAZZ 1010,Jazz History,North Terrace Campus,Semester 2,2018
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 1,2018
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 2,2018
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 1,2018
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 2,2018
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2018
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 2,2018
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 1,2018
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2018
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 1,2018
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 2,2018
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 2,2018
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 1,2018
MUSJAZZ 2101,Jazz Musicianship 2A,North Terrace Campus,Semester 1,2018
MUSJAZZ 2102,Jazz Musicianship 2B,North Terrace Campus,Semester 2,2018
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2018
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 2,2018
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 1,2018
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2018
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 2,2018
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 1,2018
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 2,2018
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 1,2018
MUSJAZZ 3101,Jazz Musicianship 3,North Terrace Campus,Semester 1,2018
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2017
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 2,2017
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2017
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 1,2017
MUSJAZZ 1010,Jazz History,North Terrace Campus,Semester 2,2017
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 2,2017
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 1,2017
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 2,2017
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 1,2017
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 2,2017
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2017
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 1,2017
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2017
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 2,2017
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 1,2017
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 1,2017
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 2,2017
MUSJAZZ 2101,Jazz Musicianship 2A,North Terrace Campus,Semester 1,2017
MUSJAZZ 2102,Jazz Musicianship 2B,North Terrace Campus,Semester 2,2017
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 2,2017
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2017
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 1,2017
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2017
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 1,2017
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 2,2017
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 1,2017
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 2,2017
MUSJAZZ 3101,Jazz Musicianship 3,North Terrace Campus,Semester 1,2017
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 2,2016
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2016
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 1,2016
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2016
MUSJAZZ 1010,Jazz History,North Terrace Campus,Semester 2,2016
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 2,2016
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 1,2016
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 1,2016
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 2,2016
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2016
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 2,2016
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2016
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 1,2016
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 2,2016
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 1,2016
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 1,2016
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 2,2016
MUSJAZZ 2101,Jazz Musicianship 2A,North Terrace Campus,Semester 1,2016
MUSJAZZ 2102,Jazz Musicianship 2B,North Terrace Campus,Semester 2,2016
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2016
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 2,2016
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2016
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 1,2016
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 1,2016
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 2,2016
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 1,2016
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 2,2016
MUSJAZZ 3101,Jazz Musicianship 3,North Terrace Campus,Semester 2,2016
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2015
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2015
MUSJAZZ 1070,Jazz Performance Advanced 1A,North Terrace Campus,Semester 1,2015
MUSJAZZ 1071,Jazz Performance Advanced 1B,North Terrace Campus,Semester 2,2015
MUSJAZZ 1100A,Small Jazz Ensemble 1 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 1100B,Small Jazz Ensemble 1 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 1300A,Jazz History 1 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 1300B,Jazz History 1 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 1400A,Jazz Improvisation 1 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 1400B,Jazz Improvisation 1 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 1500A,Jazz Theory 1 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 1500B,Jazz Theory 1 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2015
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 2,2015
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2015
MUSJAZZ 2070,Jazz Performance Advanced 2A,North Terrace Campus,Semester 1,2015
MUSJAZZ 2071,Jazz Performance Advanced 2B,North Terrace Campus,Semester 2,2015
MUSJAZZ 2100A,Small Jazz Ensemble 2 part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 2100B,Small Jazz Ensemble 2 part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 2200A,Jazz Arranging 2 part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 2200B,Jazz Arranging 2 part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 2400A,Jazz Improvisation 2 part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 2400B,Jazz Improvisation 2 part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 2500A,Jazz Theory 2 part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 2500B,Jazz Theory 2 part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 2,2015
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2015
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2015
MUSJAZZ 3070,Jazz Performance Advanced 3A,North Terrace Campus,Semester 1,2015
MUSJAZZ 3071,Jazz Performance Advanced 3B,North Terrace Campus,Semester 2,2015
MUSJAZZ 3100A,Small Jazz Ensemble 3 part 1,North Terrace Campus,Semester 2,2015
MUSJAZZ 3100A,Small Jazz Ensemble 3 part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 3100B,Small Jazz Ensemble 3 part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 3200A,Jazz Arranging 3 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 3200B,Jazz Arranging 3 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 3400A,Jazz Improvisation 3 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 3400B,Jazz Improvisation 3 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 3500A,Jazz Theory 3 Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 3500B,Jazz Theory 3 Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 4100A,Honours Performance Minor Recital (Jazz) Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 4100B,Honours Performance Minor Recital (Jazz) Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 4200A,Honours Performance Major Recital (Jazz) Part 1,North Terrace Campus,Semester 1,2015
MUSJAZZ 4200B,Honours Performance Major Recital (Jazz) Part 2,North Terrace Campus,Semester 2,2015
MUSJAZZ 1001,Jazz Performance 1A,North Terrace Campus,Semester 1,2014
MUSJAZZ 1002,Jazz Performance 1B,North Terrace Campus,Semester 2,2014
MUSJAZZ 1090A,Jazz Performance Extension 1 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 1090B,Jazz Performance Extension 1 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 1100A,Small Jazz Ensemble 1 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 1100B,Small Jazz Ensemble 1 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 1300A,Jazz History 1 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 1300B,Jazz History 1 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 1400A,Jazz Improvisation 1 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 1400B,Jazz Improvisation 1 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 1500A,Jazz Theory 1 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 1500B,Jazz Theory 1 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 2001,Jazz Performance 2A,North Terrace Campus,Semester 1,2014
MUSJAZZ 2002,Jazz Performance 2B,North Terrace Campus,Semester 2,2014
MUSJAZZ 2090A,Jazz Performance Extension 2 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 2090B,Jazz Performance Extension 2 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 2100A,Small Jazz Ensemble 2 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 2100B,Small Jazz Ensemble 2 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 2200A,Jazz Arranging 2 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 2200B,Jazz Arranging 2 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 2400A,Jazz Improvisation 2 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 2400B,Jazz Improvisation 2 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 2500A,Jazz Theory 2 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 2500B,Jazz Theory 2 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 3001,Jazz Performance 3A,North Terrace Campus,Semester 1,2014
MUSJAZZ 3002,Jazz Performance 3B,North Terrace Campus,Semester 2,2014
MUSJAZZ 3090A,Jazz Performance Extension 3 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 3090B,Jazz Performance Extension 3 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 3100A,Small Jazz Ensemble 3 part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 3100B,Small Jazz Ensemble 3 part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 3200A,Jazz Arranging 3 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 3200B,Jazz Arranging 3 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 3400A,Jazz Improvisation 3 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 3400B,Jazz Improvisation 3 Part 2,North Terrace Campus,Semester 2,2014
MUSJAZZ 3500A,Jazz Theory 3 Part 1,North Terrace Campus,Semester 1,2014
MUSJAZZ 3500B,Jazz Theory 3 Part 2,North Terrace Campus,Semester 2,2014
LING 1101,The Wonder of Language: an intro to Linguistics,North Terrace Campus,Semester 1,2019
LING 1102,Introduction to Language in Culture and Society,North Terrace Campus,Semester 2,2019
LING 2038,Cross Cultural Communication,North Terrace Campus,Semester 2,2019
LING 2039,Reclaiming Languages: a Kaurna Case Study,North Terrace Campus,Summer,2019
LING 2040,Phonology: language sounds and sound systems,North Terrace Campus,Semester 2,2019
LING 2049,Languages in C21: Cultural Contact & New Words,North Terrace Campus,Semester 1,2019
LING 2051,Directed Study II,North Terrace Campus,Semester 2,2019
LING 2051,Directed Study II,North Terrace Campus,Semester 1,2019
LING 2052,Semantics: The Study of Meaning,North Terrace Campus,Semester 1,2019
LING 3015,Reclaiming Languages: a Kaurna Case Study,North Terrace Campus,Summer,2019
LING 3019,Languages in the C21: Cultural Contact & New Words,North Terrace Campus,Semester 1,2019
LING 3020,Perspectives on Language Variation & Change,North Terrace Campus,Semester 2,2019
LING 3021,Translation: Practice and Theory (Linguistics),North Terrace Campus,Semester 2,2019
LING 3036,Directed Study III,North Terrace Campus,Semester 2,2019
LING 3036,Directed Study III,North Terrace Campus,Semester 1,2019
LING 3037,Semantics: The Study of Meaning,North Terrace Campus,Semester 1,2019
LING 3038,Phonology: language sounds and sound systems,North Terrace Campus,Semester 2,2019
LING 4010A,Honours Linguistics Thesis A,North Terrace Campus,Semester 2,2019
LING 4010A,Honours Linguistics Thesis A,North Terrace Campus,Semester 1,2019
LING 4010B,Honours Linguistics Thesis B,North Terrace Campus,Semester 1,2019
LING 4010B,Honours Linguistics Thesis B,North Terrace Campus,Semester 2,2019
LING 4012A,Honours Linguistics Thesis A,North Terrace Campus,Semester 1,2019
LING 4012A,Honours Linguistics Thesis A,North Terrace Campus,Semester 2,2019
