code,title,uni,state
DENT6399,Advanced Clinical Prosthodontics 3B,University of Sydney,NSW
DENT6400,Advanced Clinical Prosthodontics 3C,University of Sydney,NSW
DENT6414,Advanced Clinical Prosthodontics 4C,University of Sydney,NSW
PHTY5209,Advanced Clinical Reasoning,University of Sydney,NSW
AMME5060,Advanced Computational Engineering,University of Sydney,NSW
CIVL5269,Advanced Concrete Structures,University of Sydney,NSW
LAWS3401,Advanced Constitutional Law,University of Sydney,NSW
LAWS5101,Advanced Constitutional Law,University of Sydney,NSW
LAWS5102,Advanced Contracts,University of Sydney,NSW
LAWS3402,Advanced Contracts,University of Sydney,NSW
AMME8520,Advanced Control and Optimisation,University of Sydney,NSW
AMME5520,Advanced Control and Optimisation,University of Sydney,NSW
LAWS3403,Advanced Corporate Law,University of Sydney,NSW
MUSC3603,Advanced Digital Music Techniques,University of Sydney,NSW
INTM5106,Advanced Endocrinology,University of Sydney,NSW
ENGG4064,Advanced Engineering Design A,University of Sydney,NSW
ENGG4065,Advanced Engineering Design B,University of Sydney,NSW
ARCH9109,Advanced Fabrication,University of Sydney,NSW
ACCT6010,Advanced Financial Reporting,University of Sydney,NSW
AMME5292,Advanced Fluid Dynamics,University of Sydney,NSW
CHNG5606,Advanced Food Processing,University of Sydney,NSW
FRNC3001,Advanced French 1,University of Sydney,NSW
FRNC3002,Advanced French 2,University of Sydney,NSW
INTM5105,Advanced Gastroenterology,University of Sydney,NSW
GEOG2591,Advanced Geography Exchange,University of Sydney,NSW
GEOG2592,Advanced Geography Exchange,University of Sydney,NSW
GEOG3591,Advanced Geography Exchange,University of Sydney,NSW
GEOS3591,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS1591,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3592,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3594,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3596,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3593,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3595,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3597,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS2591,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS2592,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS2594,Advanced Geoscience Exchange,University of Sydney,NSW
GEOS3598,Advanced Geoscience Exchange,University of Sydney,NSW
SEXH5202,Advanced HIV Infection,University of Sydney,NSW
IMMU3592,Advanced Immunology Exchange,University of Sydney,NSW
DENT5414,Advanced Implant Management 3A,University of Sydney,NSW
ACCT3020,Advanced Issues in Management Accounting,University of Sydney,NSW
SEXH5415,Advanced Issues in Psychosexual Therapy,University of Sydney,NSW
