code,title
AHT4504,AHT4504 Art theory research seminar
AMG5018,"AMG5018 Celebrity, fashion, publicity"
AMG5382,AMG5382 Contemporary issues in Asia
AMG5400,AMG5400 Global digital media: Issues in international and transnational communication
AMG5409,AMG5409 Communication research
AMG5742,AMG5742 Communications research project
AMG5743,AMG5743 Communications research thesis
AMG5751,AMG5751 Communications industry internship
AMG5894,AMG5894 Communications theories and practices
AMU1017,AMU1017 Academic literacies
AMU1018,AMU1018 Learning in higher education
AMU1277,AMU1277 Media studies
AMU1278,AMU1278 Communication technologies and practices
AMU1304,AMU1304 Television studies: Forms and approaches
AMU1305,AMU1305 Film studies: Forms and approaches
AMU1309,AMU1309 Introduction to sexuality studies
AMU1310,AMU1310 Introduction to gender studies
AMU1312,AMU1312 Introduction to creative writing
AMU1314,AMU1314 Writing techniques: Forms and literary devices
AMU1325,AMU1325 Introduction to world politics and history
AMU1326,AMU1326 Transformation from above: Globalisation and the state
AMU1328,AMU1328 Introduction to journalism
AMU1329,AMU1329 Broadcast journalism
AMU1330,AMU1330 Digital media 1
AMU1331,AMU1331 Introduction to internet studies
AMU2140,AMU2140 States and markets
AMU2145,AMU2145 Digital media 2
AMU2146,AMU2146 Digital screens
AMU2315,AMU2315 Strategies in writing experiments
AMU2439,AMU2439 Youth and mobile media
AMU2448,AMU2448 Film genres
AMU2449,AMU2449 Film histories: From 1895 to the present
AMU2450,AMU2450 Contemporary media theory
AMU2453,AMU2453 Research methods in the social sciences
AMU2455,AMU2455 Special topic in social sciences
AMU2498,AMU2498 Contemporary fiction
AMU2625,"AMU2625 Borders, people and identity: Migration in the 21st century"
AMU2685,AMU2685 Malaysian studies
AMU2690,AMU2690 Discovering the Asia-Pacific study trips
AMU2787,AMU2787 Multimedia journalism
AMU2814,AMU2814 Transforming community: Project design and public relations for social campaigns
AMU2832,AMU2832 Postcolonial and diasporic literature
AMU2906,"AMU2906 Genders, sexualities and religions in Southeast Asia"
AMU2907,AMU2907 Sexual and reproductive health and rights in global contexts
AMU2908,AMU2908 Critical methodologies for action research
AMU2920,"AMU2920 Transformation from below: Civil, society, social movements and political change"
AMU3127,"AMU3127 Stardom: Celebrity, society and power"
AMU3449,AMU3449 Reading social media: Sociotechnological literacies
AMU3451,AMU3451 Freedom and control in the media
AMU3499,AMU3499 Authorship and writing
AMU3560,AMU3560 Contemporary feminisms in Asia
AMU3565,AMU3565 Southeast Asian cinema
AMU3570,AMU3570 International relations
AMU3574,"AMU3574 Performing Asian, African and black masculinities"
AMU3575,AMU3575 Task force: Responding to global challenges
AMU3580,AMU3580 Digital Society: Engaging with the world
AMU3630,"AMU3630 Governing the global economy: Stability, efficiency, justice"
AMU3650,AMU3650 A world in crisis: Multilevel responses to global emergencies
AMU3744,AMU3744 Workplace learning internship
AMU3806,AMU3806 Business reporting
AMU3857,AMU3857 Writing techniques
AMU3858,AMU3858 Writing experiments
AMU3859,AMU3859 Writing portfolio
AMU4718,AMU4718 Arts honours dissertation 1
AMU4719,AMU4719 Arts honours dissertation 2
AMU4720,AMU4720 Research issues and methodology
AMU4727,"AMU4727 Readings in social, political and cultural theory"
ANT1800,ANT1800 Introduction to anatomy and medical terminology
APG4223,"APG4223 Gender, violence and society: Understanding social patterns"
APG4224,"APG4224 Gender, violence and society: Criminal justice responses"
APG4248,APG4248 Field methods in anthropology and international development
APG4314,APG4314 Seeking justice: South Africa and Rwanda
APG4421,"APG4421 Dramatic theory, criticism and research methods"
APG4554,APG4554 Resource evaluation and management
APG4618,APG4618 Researching histories
APG4681,APG4681 Social research practice
APG4789,APG4789 Research methods in music
APG5018,"APG5018 Celebrity, fashion, publicity"
APG5042,APG5042 Practices of teaching Englishes for intercultural communication
APG5043,APG5043 Language and multilingual societies
APG5044,APG5044 Professional internship
APG5045,APG5045 Gender and development
APG5046,APG5046 General linguistics
APG5047,APG5047 Issues in teaching languages for international communication
APG5048,APG5048 Translation for special purposes
APG5049,APG5049 Theory and practice of interpreting
APG5050,APG5050 Communication research methods
APG5051,APG5051 Special topics in bioethics
APG5052,APG5052 Special topic in digital media and communication
APG5054,APG5054 Research methods for development practice and change
APG5060,APG5060 Advanced academic skills
APG5064,"APG5064 Gender, security and conflict"
APG5066,APG5066 Shanghai city lab
APG5067,APG5067 Cultural economy and sustainable development
APG5068,APG5068 Creative cities
APG5069,"APG5069 Australia and Asia in the Asian century: Politics, business, media"
APG5070,"APG5070 Media, mobility and migration"
APG5073,"APG5073 Conflict, security and development"
APG5075,APG5075 Using data to understand family violence
APG5076,APG5076 Health and family violence
APG5077,APG5077 Cultural and nature-based product management
APG5078,APG5078 Gender-based policy and planning
APG5080,APG5080 Bioethics and the body
APG5081,APG5081 Public health ethics
APG5082,APG5082 Creative entrepreneurship in cultural industries
