code,title,meta
MNG82001,Organisational Behaviour (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
FOR03111,Natural Resources Policy (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
BIO01209,Aquaculture Management (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
TCH30002,Professional Experience III: Transition to the Profession (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
TCH30001,Casual Teaching (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
TCH20002,"Children, Families and Communities (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
EDU92002,Leading Professional Learning Communities (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
EDU91002,Developing a Professional Portfolio: Part B (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
TCH20003,Curriculum Studies in Early Childhood (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
TCH20001,Professional Experience II: Effective Teaching (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
TCH10014,Professional Experience I: Becoming a Teacher (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
MAT30002,Topology (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
MAT30001,Group Theory (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
EDU40006,Education Honours Thesis (Stage 3 of 3) (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
EDU40005,Education Honours Thesis (Stage 2 of 3) (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
EDU40004,Education Honours Thesis (Stage 1 of 3) (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
EDU92004,Managing Assessment in Vocational Education and Training (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
EDU92003,Using Assessment Data to Improve Student Learning (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
ENV10655,Coastlines,Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
