Water Essentials KNE521 
Fishing Technology KSM312 
Building Strategy ESM755 
High Voltage Practice JVE227 
Issues in Mathematics Teaching ESH323 
Shipboard Electronics JNE228 
Big History EUS022 
Experimental Production 1 FPB316 
Marine (Honours) B KSM425 
Marine (Honours) C KSM426 
Marine (Honours) D KSM427 
Aquaculture Hatchery Production KSM313 
Histology CXA225 
Building Learning Culture ESM752 
Legal Studies 2 EUS024 
Legal Studies 1 EUS023 
Ecological Biology EUS006 
Building Leadership Culture ESM754 
Finance BEA475 
Thesis Project - Part A KEA720 
Thesis Project - Part B KEA721 
Honours Unit A KZA413
Honours Unit B KZA414
Evolutionary Biology EUS005 
Thesis B HEF461 
Music Creation 1 FCA315 
Creative Writing Workshop 2 HEN324 
Environmental and Spatial Data Analysis KSM203 
Thesis A HEF460 
Research Thesis 2A KHA751 
Psychology in Practice EUS020 
Building Systems and Operations ESM753 
Experimental Economics BEA413 
Chemistry 1B KRA514 
Chemistry 1A KRA513 
Planning a Research Project EPA961 
Advanced Educational Inquiry EPA960 
Physics 1A KYA501 
Physics 1B KYA502 
Thesis A HEG460 
Dissertation Economics BEA473 
Introductory German (UCP) HEG103 
Injury Prevention ESP304 
Non Communicable Disease Prevention CAM624 
Physical Activity Professional Experience ESP215 
Mathematics 1B KMA554 
Mathematics 1A KMA552 
Thesis B HEG461 
Overseas Exchange Study - Medical Research CAM070 
Overseas Exchange Study - Medical Research CAM071 
Overseas Exchange Study - Medical Research CAM060 
Overseas Exchange Study - Medical Research CAM061 
Overseas Exchange Study - Medical Research CAM062 
Overseas Exchange Study - Medical Research CAM063 
Overseas Exchange Study - Medical Research CAM064 
Haematology 2 CXA632 
Thesis Part B KGG446 
Special Project HSS311 
Engineering Mathematics 2B KME272 
Training and Assessment 1 EAL101 
Thesis Part C KGG447 
Physics 1 EUS009 
Physics 2 EUS010 
Training and Assessment 2 EAL210 
Mining Methods KNE372 
Antarctic Science with Honours B KSA434 
Antarctic Science with Honours C KSA435 
Antarctic Science with Honours D KSA436 
Principles of Soil Management ZAB203 
Computational Analysis ENG714 
Environmental Impact Assessment KGA581 
Asset Management Fundamentals KNE744 
Introductory French (UCP) HEF103 
High Acuity Nursing CNA556 
Chronicity and Multimorbidity CAD119 
Road Asset Management KNE556 
Research and Evaluation Practicum CAM404 
Computer Essentials EUS029 
Honours Thesis A HEN460 
Honours Thesis B HEN461 
Electronic Health Records CRH505 
French Translation HEF416 
Macroeconomics BEA471 
Chemistry Dynamics EUS007 
Business Marketing EUS016 
Discipline Skills & Knowledge A EAL103 
Discipline Skills & Knowledge D EAL212 
Writing for Publication EPA963 
Research Thesis 2B KHA752 
Business Management EUS015 
Managing Revenue ZAA248 
Living the UN Sustainable Development Goals KAA107 
Electronics/Electrical Project JNE328 
Behaviour Change 1 KHA714 
Dissertation in Economics A BEA414 
Honours Dissertation B HPH402 
Ethical and Legal Aspects of Dementia Care CAD206 
"Master of Applied Science, Thesis KPA706 "
Textiles 1 FFX110 
Environmental Health Practice B CAM547 
Integrated Marketing Communications BMA612 
Chinese Thesis A HMC462 
Chinese Thesis B HMC463 
Sculpture 2D FSS282 
French Language 4B HEF417 
Waves and Kinetic Theory KYA611 
Chinese 3D Advanced HMC322 
Algebra and Application 2 KMA651 
Food Safety (Honours) B KLA480 
Special Topics in Management BMA790 
Food Safety (Honours) D KLA482 
Studies in TESOL ESH372 
Painting 2C FSP281 
Sculpture 2C FSS281 
Ecology XPD131 
Research Thesis KHA770 
Agronomy KLA331 
Botany Honours B KPA429 
Botany Honours C KPA433 
Botany Honours D KPA434 
Chemistry of Materials EUS008 
Studio Project B FFE313 
Honours Thesis Part B HTC406 
Organic and Inorganic Chemistry KRA641 
Honours Graduation Folio FCZ465 
BioStart CXA001 
Environmental Health Law CAM543 
Genetics Honours B KPA437 
Genetics Honours C KPA438 
Genetics Honours D KPA439 
Chemistry (Honours) B KRA427 
Chemistry (Honours) C KRA428 
Chemistry (Honours) D KRA429 
Calculus and Applications 2 KMA652 
Developing Understanding of Fundamental Mathematics ESH122 
Marine Mathematics JNE230 
Advanced Mechanical Engineering Applications KNE485 
Foundation Mathematics 1 EUS013 
Music Seminar FCP306 
3D Design 2D FSF282 
Foundation Mathematics 2 EUS014 
Project KRA580 
Physical and Analytical Chemistry KRA642 
Mathematics Honours B KMA416 
Mathematics Honours C KMA417 
Econometrics BEA472 
Mathematics Honours D KMA418 
Microeconomics BEA470 
Outdoor Journeys ESP351 
Environmental Health Management and Protection CAM544 
Photography 2C FSH281 
Photography 2D FSH282 
Painting 2D FSP282 
Chinese 3B HMC320 
Electromagnetism and Thermodynamics KYA612 
Medical Research Project A CAM703 
Medical Research Project B CAM704 
"Flow Cytometry, Histology and Microscopy CAM702 "
Environmental Health Practice A CAM546 
Marine Heavy Fitting JVE136 
Physics 4 (Honours) B KYA419 
Physics 4 (Honours) C KYA436 
Physics 4 (Honours) D KYA437 
Chinese 3C Advanced HMC321 
The Electronic Musician FCJ220 
Self-care for Mental Health and Wellbeing CNA002 
Fisheries Assessment JFA527 
Creative Computing EUS030 
Acting for Screen FPB227 
Stage Management FPB251 
Acting for Screen FPB327 
3D Design 2C FSF281 
Intermediate Latin A HTL217 
Honours Minor Dissertation A HPH403 
Honours Minor Dissertation B HPH404 
Public Health Intervention Practice CAM633 
Honours Thesis Part B KGA437 
Honours Thesis Part C KGA438 
Data Capture Technologies ZAT204 
Honours Dissertation A HPH401 
Data Handling and Statistics 1 KMA553 
Performance Project FPB240 
Performance Project FPB340 
Data Handling and Statistics 2 KMA653 
Orchestration FCB311 
Programming XPD126 
Foundations of Technology for Healthy Living CXA004 
Advanced Ancient Greek B HTG318 
Advanced Ancient Greek A HTG316 
3D Games Programming KIT309 
"Principles of Weed, Pest and Disease Management ZAB211 "
Printmaking 2C FSR281 
Japanese Thesis A HMJ462 
Japanese Thesis B HMJ463 
Human Resource Project BMA335 
Transfusion Science CXA333 
Pavement Construction KNE553 
Economics and Statistical Analysis BEA603 
Printmaking 2D FSR282 
Food Safety (Honours) C KLA488 
Special Topic in German A HEG407 
Major Research Project HEN402 
Guided Reading in Japanese HMJ409 
Professional Practices 2A FFA774 
Professional Practices 3A FFA776 
Fisheries Science QMS513 
Special Topic in German B HEG408 
Literature Review KSA717 
Ideas & Critical Thinking 1 EUS027 
Ideas & Critical Thinking 2 EUS028 
Minor Thesis B HGW709 
Behaviour Change 2 KHA724 
Minor Research Project HEN420 
Intermediate Ancient Greek A HTG216 
Intermediate Ancient Greek B HTG218 
Special Topic in Advanced Latin B HTL321 
Philosophy Hons Coursework A HPH414 
Theories of Counselling KHA614 
Insect Ecology and Behaviour KLA314 
International Marketing BMA382 
Community Connections ESH373 
Sports Coaching ESP319 
Music Since 1950 FCP301 
German for Tourism and Business HEG318 
Chinese 3A HMC319 
Special Topic in Advanced Latin A HTL301 
Music & History FCH102 
Drawing Ideas 2 FFD101 
Stage Management FPB351 
English for Tertiary Studies 1 EUS025 
English for Tertiary Studies 2 EUS026 
Sound FSE256 
French Language 3B HEF316 
Philosophy Hons Coursework B HPH415 
Transfusion Science CXA633 
ICT Project B KIT302 
Foundations of Entrepreneurship BMA246 
French Language 2B HEF216 
Advanced Latin A HTL317 
Succession LAW683 
Thesis Project - Part A KEA724 
Thesis Project - Part B KEA725 
Thinking Globally ESH371 
Glass Class FFC205 
Special Topic in French Literature HEF425 
Counselling Practicum KHA621 
Postgraduate unit KYA583 
Postgraduate unit KYA586 
Materials Engineering ENG223 
Applied Computer Aided Design EDT311 
Guided Reading in Asian Studies HMA404 
Public and Environmental Health CXA224 
Algebra 2 KMA251 
Master of Applied Science (Food Safety) Thesis B KLA716 
Building a Feedback Culture ESM763 
