code,title,uni,state
AMME9301,Mechanics of Solids 1,University of Sydney,NSW
AMME9302,Materials 1,University of Sydney,NSW
AMME9500,Engineering Dynamics,University of Sydney,NSW
AMME9501,System Dynamics and Control,University of Sydney,NSW
AMME9601,Professional Engineering,University of Sydney,NSW
AMME9700,Instrumentation,University of Sydney,NSW
AMST1001,Global America,University of Sydney,NSW
AMST1202,"Hashtag America: Media, Technology, Industry",University of Sydney,NSW
AMST2606,Stand Up USA: American Comedy and Humour,University of Sydney,NSW
AMST2701,American Dreams,University of Sydney,NSW
AMST3601,American Perspectives,University of Sydney,NSW
AMST4112,Cultural Capital: Kant to Kardashian,University of Sydney,NSW
AMST4115,American Studies: Theory and Practice,University of Sydney,NSW
ANAT2008,Principles of Histology,University of Sydney,NSW
ANAT2009,Comparative Primate Anatomy,University of Sydney,NSW
ANAT2010,Concepts of Neuroanatomy,University of Sydney,NSW
ANAT2011,Fundamentals of Human Anatomy,University of Sydney,NSW
ANAT2910,Concepts in Neuroanatomy Adv,University of Sydney,NSW
ANAT3004,Cranial and Cervical Anatomy,University of Sydney,NSW
ANAT3006,Forensic Osteology,University of Sydney,NSW
ANAT3007,Visceral Anatomy,University of Sydney,NSW
ANAT3008,Musculoskeletal Anatomy,University of Sydney,NSW
ANAT3009,Functional Systems Histology,University of Sydney,NSW
ANAT3010,Anatomical Imaging: From Micro to Macro,University of Sydney,NSW
ANAT3904,Cranial and Cervical Anatomy (Advanced),University of Sydney,NSW
ANAT3907,Visceral Anatomy (Advanced),University of Sydney,NSW
ANAT3908,Musculoskeletal Anatomy (Advanced),University of Sydney,NSW
ANAT3909,Functional Systems Histology (Advanced),University of Sydney,NSW
ANAT3994,Cranial and Cervical Anatomy (SSP),University of Sydney,NSW
ANAT4014,Anatomy Honours D,University of Sydney,NSW
ANHS1600,Foundations for Ancient Greece,University of Sydney,NSW
ANHS1601,Foundations for Ancient Rome,University of Sydney,NSW
ANHS1602,Greek and Roman Myth,University of Sydney,NSW
ANHS2603,Ancient Greek Democracies,University of Sydney,NSW
ANHS2614,The Emperor in the Roman World 14-117 AD,University of Sydney,NSW
ANHS2616,Tragedy and Society in Greece and Rome,University of Sydney,NSW
ANHS2635,Augustus and the Roman Revolution,University of Sydney,NSW
ANHS3635,Historiography Ancient and Modern,University of Sydney,NSW
ANHS3636,"Hannibal, Carthage and Rome",University of Sydney,NSW
ANHS3637,Ancient Sparta and Modern Ideology,University of Sydney,NSW
ANHS3998,Industry and Community Project,University of Sydney,NSW
ANHS3999,Interdisciplinary Impact,University of Sydney,NSW
ANSC3102,Animal Reproduction,University of Sydney,NSW
ANSC3105,Animal Biotechnology,University of Sydney,NSW
ANSC3106,Animal Behaviour and Welfare Science,University of Sydney,NSW
ANTH1001,Introduction to Anthropology,University of Sydney,NSW
ANTH1002,Anthropology in the World,University of Sydney,NSW
ANTH2606,Culture and the Unconscious,University of Sydney,NSW
ANTH2623,Anthropology of Gender and Sexualities,University of Sydney,NSW
ANTH2627,Medical Anthropology,University of Sydney,NSW
ANTH2653,Economy and Culture,University of Sydney,NSW
ANTH3601,Contemporary Theory and Anthropology,University of Sydney,NSW
ANTH3602,Reading Ethnography,University of Sydney,NSW
ANTH3615,Ethnography of Southeast Asia,University of Sydney,NSW
ANTH3618,Indigenous Australians Today,University of Sydney,NSW
ANTH3632,The Anthropology of the Body,University of Sydney,NSW
ANTH3998,Industry and Community Project,University of Sydney,NSW
ANTH3999,Interdisciplinary Impact,University of Sydney,NSW
ANTH4101,Theorising the State in Everyday Life,University of Sydney,NSW
ANTH4102,Anthropology of Mind and Experience,University of Sydney,NSW
ANTH4103,Anthropology Honours Thesis 1,University of Sydney,NSW
ANTH4104,Anthropology Honours Thesis 2 and 3,University of Sydney,NSW
ANTH6916,Culture and Development: Key Concepts,University of Sydney,NSW
ARBC1611,Introductory Arabic 1A,University of Sydney,NSW
ARBC1612,Introductory Arabic 1B,University of Sydney,NSW
ARBC2211,North Africa: History Culture Society,University of Sydney,NSW
ARBC2613,Intermediate Arabic 2A,University of Sydney,NSW
ARBC2614,Intermediate Arabic 2B,University of Sydney,NSW
ARBC3615,Advanced Arabic 3A,University of Sydney,NSW
ARBC3616,Advanced Arabic 3B,University of Sydney,NSW
ARBC3691,"Modern Egypt: History, Culture, Society",University of Sydney,NSW
ARBC3998,Industry and Community Project,University of Sydney,NSW
ARBC3999,Interdisciplinary Impact,University of Sydney,NSW
ARBC4113,Theory and Method in Arab Studies,University of Sydney,NSW
ARBC4114,Advanced Arabic for Research,University of Sydney,NSW
ARCF9001,Modes of Inquiry: Research and Scholarship,University of Sydney,NSW
ARCH3108,Industry and Community Projects,University of Sydney,NSW
ARCH4007,Critical Thinking in Architecture,University of Sydney,NSW
ARCH4008,Architecture Research Areas,University of Sydney,NSW
ARCH4009,Research Methods in Architecture,University of Sydney,NSW
ARCH4010,Architecture Dissertation,University of Sydney,NSW
ARCH9001,Urban Design Studio: Urban Precinct,University of Sydney,NSW
ARCH9002,Urban Design Studio: Urban Project,University of Sydney,NSW
ARCH9028,Conservation Methods and Practices,University of Sydney,NSW
ARCH9063,Urban Form and Design,University of Sydney,NSW
ARCH9074,Principles of Heritage Conservation,University of Sydney,NSW
ARCH9075,New Design in Old Settings,University of Sydney,NSW
ARCH9080,"Urban Ecology, Design and Planning",University of Sydney,NSW
ARCH9081,Heritage Law and Policy,University of Sydney,NSW
ARCH9082,Conservation of Traditional Buildings,University of Sydney,NSW
ARCH9083,Conservation of Modern Buildings,University of Sydney,NSW
ARCH9088,General Elective 12,University of Sydney,NSW
ARCH9090,"Dialogue, Deliberation and Engagement",University of Sydney,NSW
ARCH9092,Urban Report,University of Sydney,NSW
ARCH9093,Integrated Urbanism Studio,University of Sydney,NSW
ARCH9100,Urban Design Foundations Studio,University of Sydney,NSW
ARCH9104,Architecture and Diagrams,University of Sydney,NSW
