code,unit,title,major
BIOL1020,2,"Genes, Cells & Evolution",Microbiology (Major)
BIOL1040,2,Cells to Organisms,Microbiology (Major)
CHEM1100,2,Chemistry 1,Microbiology (Major)
BIOC2000,2,Biochemistry & Molecular Biology,Microbiology (Major)
MICR2000,2,Microbiology & Immunology,Microbiology (Major)
MICR3001,2,Microbes & Human Health,Microbiology (Major)
BIOL2006,2,Biostatistics & Experimental Design,Microbiology (Major)
BIOL2010,2,Ecology,Microbiology (Major)
BIOL2200,2,Cell Structure & Function,Microbiology (Major)
BIOL2202,2,Genetics,Microbiology (Major)
BIPH2000,2,Foundations of Biophysics,Microbiology (Major)
CHEM2052,2,Chemical Biology,Microbiology (Major)
CHEM2060,2,Intermediate Chemistry 2,Microbiology (Major)
SCIE2020,2,CSI UQ: Introduction to Forensic Science,Microbiology (Major)
BIOC3005,2,Molecular Systems Biology,Microbiology (Major)
BIOL3003,2,Advanced Immunology,Microbiology (Major)
BIOL3004,2,Genomics & Bioinformatics,Microbiology (Major)
BIOL3009,2,Arthropods & Human Health,Microbiology (Major)
MICR3002,2,Virology,Microbiology (Major)
MICR3003,2,Molecular Microbiology,Microbiology (Major)
MICR3004,2,Microbial Genomics,Microbiology (Major)
BIOL3011,2,Plant Microbe & Insect Interactions,Microbiology (Major)
BIOL3201,2,Plant Diseases,Microbiology (Major)
PARA3002,2,Biomedical Parasitology,Microbiology (Major)
"[	
	MATH1051",2,Calculus & Linear Algebra I,Physics (Major)
[ or,NA,[ or,Physics (Major)
"[	
	MATH1071",2,Advanced Calculus & Linear Algebra I,Physics (Major)
"[	
	MATH1052",2,Multivariate Calculus & Ordinary Differential Equations,Physics (Major)
[ or,NA,[ or,Physics (Major)
"[	
	MATH1072",2,Advanced Multivariate Calculus & Ordinary Differential Equations,Physics (Major)
PHYS1001,2,Mechanics & Thermal Physics I,Physics (Major)
PHYS1002,2,Electromagnetism and Modern Physics,Physics (Major)
PHYS2020,2,Thermodynamics & Condensed Matter Physics,Physics (Major)
PHYS2041,2,Introduction to Quantum Mechanics,Physics (Major)
PHYS2055,2,Introduction to Fields in Physics,Physics (Major)
PHYS3900,2,Perspectives in Physics Research,Physics (Major)
PHYS3020,2,Statistical Mechanics,Physics (Major)
PHYS3040,2,Quantum Physics,Physics (Major)
PHYS3051,2,Fields in Physics,Physics (Major)
BIPH3001,2,Frontiers in Biophysics,Physics (Major)
PHYS3020,2,Statistical Mechanics,Physics (Major)
PHYS3040,2,Quantum Physics,Physics (Major)
PHYS3051,2,Fields in Physics,Physics (Major)
PHYS3071,2,Computational Physics,Physics (Major)
PHYS3080,2,Extragalactic Astrophysics & Cosmology,Physics (Major)
PHYS3825,2,Advanced Experimental Skills,Physics (Major)
"[	
	MATH1051",2,Calculus & Linear Algebra I,Physics (Extended Major)
[ or,NA,[ or,Physics (Extended Major)
"[	
	MATH1071",2,Advanced Calculus & Linear Algebra I,Physics (Extended Major)
"[	
	MATH1052",2,Multivariate Calculus & Ordinary Differential Equations,Physics (Extended Major)
[ or,NA,[ or,Physics (Extended Major)
"[	
	MATH1072",2,Advanced Multivariate Calculus & Ordinary Differential Equations,Physics (Extended Major)
PHYS1001,2,Mechanics & Thermal Physics I,Physics (Extended Major)
PHYS1002,2,Electromagnetism and Modern Physics,Physics (Extended Major)
PHYS2020,2,Thermodynamics & Condensed Matter Physics,Physics (Extended Major)
PHYS2041,2,Introduction to Quantum Mechanics,Physics (Extended Major)
PHYS2055,2,Introduction to Fields in Physics,Physics (Extended Major)
PHYS3900,2,Perspectives in Physics Research,Physics (Extended Major)
BIPH2000,2,Foundations of Biophysics,Physics (Extended Major)
PHYS2082,2,Space Science & Stellar Astrophysics,Physics (Extended Major)
PHYS2100,2,"Dynamics, Chaos & Special Relativity",Physics (Extended Major)
PHYS2810,2,Electronics & Circuit Theory,Physics (Extended Major)
PHYS3020,2,Statistical Mechanics,Physics (Extended Major)
PHYS3040,2,Quantum Physics,Physics (Extended Major)
PHYS3051,2,Fields in Physics,Physics (Extended Major)
BIPH3001,2,Frontiers in Biophysics,Physics (Extended Major)
PHYS3020,2,Statistical Mechanics,Physics (Extended Major)
PHYS3040,2,Quantum Physics,Physics (Extended Major)
PHYS3051,2,Fields in Physics,Physics (Extended Major)
PHYS3071,2,Computational Physics,Physics (Extended Major)
PHYS3080,2,Extragalactic Astrophysics & Cosmology,Physics (Extended Major)
PHYS3825,2,Advanced Experimental Skills,Physics (Extended Major)
SCIE3250,2,Introduction to Research in Mathematics/Physics,Physics (Extended Major)
SCIE3251,2,Introduction to Research in Mathematics/Physics,Physics (Extended Major)
BIOL1020,2,"Genes, Cells & Evolution",Plant Science (Major)
BIOL1030,2,Global Challenges in Biology,Plant Science (Major)
BIOL1040,2,Cells to Organisms,Plant Science (Major)
BIOL2006,2,Biostatistics & Experimental Design,Plant Science (Major)
BIOL2203,2,Plant Biology,Plant Science (Major)
BIOL3200,2,Current Topics in Plant Science,Plant Science (Major)
AGRC2013,2,Agricultural Microbiology & Gene Technology,Plant Science (Major)
BIOC2000,2,Biochemistry & Molecular Biology,Plant Science (Major)
BIOL2010,2,Ecology,Plant Science (Major)
BIOL2015,2,Ecology Field Studies,Plant Science (Major)
BIOL2201,2,Evolution,Plant Science (Major)
BIOL2202,2,Genetics,Plant Science (Major)
MICR2000,2,Microbiology & Immunology,Plant Science (Major)
PLNT2011,2,Plant and Environmental Health,Plant Science (Major)
BIOL3011,2,Plant Microbe & Insect Interactions,Plant Science (Major)
BIOL3201,2,Plant Diseases,Plant Science (Major)
BIOL3202,2,Plant Biology II,Plant Science (Major)
BIOL3203,2,Plant Molecular Biology & Biotechnology,Plant Science (Major)
BIOL3204,2,Plant Adaptation and Global Change,Plant Science (Major)
BIOL3227,2,Plant Identification and Vegetation Classification,Plant Science (Major)
AGRC3037,2,Plants for Human Health,Plant Science (Major)
BIOL3000,2,Conservation,Plant Science (Major)
BIOL3004,2,Genomics & Bioinformatics,Plant Science (Major)
BIOL3016,2,Outback Ecology Field Studies,Plant Science (Major)
BIOL3210,2,Fungal Biology,Plant Science (Major)
BIOL3310,2,Macroecology and Biogeography,Plant Science (Major)
BIOL3370,2,Animal-Plant Interactions,Plant Science (Major)
LAND3005,2,Soil Plant Relationships,Plant Science (Major)
PLNT3012,2,Weed Science,Plant Science (Major)
PSYC1020,2,"Introduction to Psychology: Minds, Brains and Behaviour",Psychology (Major)
PSYC1030,2,"Introduction to Psychology: Developmental, Social & Clinical Psychology",Psychology (Major)
PSYC1040,2,Psychological Research Methodology I,Psychology (Major)
PSYC2010,2,Psychological Research Methodology II,Psychology (Major)
PSYC3020,2,Measurement in Psychology,Psychology (Major)
PSYC2020,2,Neuroscience for Psychologists,Psychology (Major)
PSYC2030,2,Developmental Psychology,Psychology (Major)
PSYC2040,2,Social & Organisational Psychology,Psychology (Major)
PSYC2050,2,Learning & Cognition,Psychology (Major)
ANAT3022,2,Functional Neuroanatomy,Psychology (Major)
MUSC3340,2,"Music, Cognition & Development",Psychology (Major)
PSYC3000,2,Applied Sport and Exercise Psychology,Psychology (Major)
PSYC3032,2,Topics in Social Psychology,Psychology (Major)
PSYC3042,2,Psychological Research: Interpretation & Evaluation,Psychology (Major)
PSYC3052,2,Judgment & Decision-Making,Psychology (Major)
PSYC3062,2,Introduction to Human Factors,Psychology (Major)
PSYC3082,2,Psychotherapies and Counselling,Psychology (Major)
PSYC3102,2,Psychopathology,Psychology (Major)
PSYC3122,2,Attitudes & Social Cognition,Psychology (Major)
PSYC3132,2,Health Psychology,Psychology (Major)
PSYC3142,2,Intergroup Relations & Group Processes,Psychology (Major)
PSYC3162,2,Development in Infancy,Psychology (Major)
PSYC3192,2,Sensory Neuroscience,Psychology (Major)
PSYC3202,2,Industrial & Organisational Psychology,Psychology (Major)
PSYC3262,2,Evolutionary Approaches to Human Behaviour,Psychology (Major)
PSYC3272,2,The Neuroscience of Social Behaviour,Psychology (Major)
PSYC3282,2,Developmental Perspectives on the Origins of Human Culture,Psychology (Major)
PSYC3302,2,Cognitive Neuroscience,Psychology (Major)
PSYC3312,2,Parenting and Family Psychology,Psychology (Major)
PSYC1020,2,"Introduction to Psychology: Minds, Brains and Behaviour",Psychology (Extended Major)
PSYC1030,2,"Introduction to Psychology: Developmental, Social & Clinical Psychology",Psychology (Extended Major)
PSYC1040,2,Psychological Research Methodology I,Psychology (Extended Major)
PSYC2010,2,Psychological Research Methodology II,Psychology (Extended Major)
PSYC2020,2,Neuroscience for Psychologists,Psychology (Extended Major)
PSYC2030,2,Developmental Psychology,Psychology (Extended Major)
PSYC2040,2,Social & Organisational Psychology,Psychology (Extended Major)
PSYC2050,2,Learning & Cognition,Psychology (Extended Major)
PSYC3010,2,Psychological Research Methodology III,Psychology (Extended Major)
PSYC3020,2,Measurement in Psychology,Psychology (Extended Major)
PSYC3102,2,Psychopathology,Psychology (Extended Major)
PSYC3042,2,Psychological Research: Interpretation & Evaluation,Psychology (Extended Major)
PSYC3000,2,Applied Sport and Exercise Psychology,Psychology (Extended Major)
PSYC3082,2,Psychotherapies and Counselling,Psychology (Extended Major)
PSYC3132,2,Health Psychology,Psychology (Extended Major)
PSYC3202,2,Industrial & Organisational Psychology,Psychology (Extended Major)
ANAT3022,2,Functional Neuroanatomy,Psychology (Extended Major)
PSYC3262,2,Evolutionary Approaches to Human Behaviour,Psychology (Extended Major)
PSYC3272,2,The Neuroscience of Social Behaviour,Psychology (Extended Major)
PSYC3302,2,Cognitive Neuroscience,Psychology (Extended Major)
PSYC3052,2,Judgment & Decision-Making,Psychology (Extended Major)
PSYC3062,2,Introduction to Human Factors,Psychology (Extended Major)
PSYC3192,2,Sensory Neuroscience,Psychology (Extended Major)
MUSC3340,2,"Music, Cognition & Development",Psychology (Extended Major)
PSYC3162,2,Development in Infancy,Psychology (Extended Major)
PSYC3282,2,Developmental Perspectives on the Origins of Human Culture,Psychology (Extended Major)
PSYC3312,2,Parenting and Family Psychology,Psychology (Extended Major)
PSYC3032,2,Topics in Social Psychology,Psychology (Extended Major)
PSYC3122,2,Attitudes & Social Cognition,Psychology (Extended Major)
PSYC3142,2,Intergroup Relations & Group Processes,Psychology (Extended Major)
PSYC3292,2,Psychology of Emotion,Psychology (Extended Major)
INDH1005,2,Aboriginal & Torres Strait Islander Health,Public Health (Major)
PUBH1102,2,Introduction to Public Health,Public Health (Major)
PUBH1103,2,Health Systems & Policy,Public Health (Major)
NUTR2003,2,Nutrition in the Lifespan,Public Health (Major)
PUBH2004,2,Understanding Health Behaviours,Public Health (Major)
PUBH2008,2,Major Diseases & their control,Public Health (Major)
HLTH3007,2,Research Project,Public Health (Major)
PUBH3002,2,Health Policy in Practice,Public Health (Major)
PUBH3005,2,Influencing Health Behaviours,Public Health (Major)
PUBH3009,2,Environmental Health,Public Health (Major)
PUBH3010,2,Global Health and Infectious Disease,Public Health (Major)
"[	
	MATH1051",2,Calculus & Linear Algebra I,Statistics (Major)
[ or,NA,[ or,Statistics (Major)
"[	
	MATH1071",2,Advanced Calculus & Linear Algebra I,Statistics (Major)
"[	
	MATH1052",2,Multivariate Calculus & Ordinary Differential Equations,Statistics (Major)
[ or,NA,[ or,Statistics (Major)
"[	
	MATH1072",2,Advanced Multivariate Calculus & Ordinary Differential Equations,Statistics (Major)
MATH2001,2,Advanced Calculus & Linear Algebra II,Statistics (Major)
STAT2003,2,Mathematical Probability,Statistics (Major)
STAT2004,2,Statistical Modelling & Analysis,Statistics (Major)
STAT3001,2,Mathematical Statistics,Statistics (Major)
STAT3004,2,Probability Models & Stochastic Processes,Statistics (Major)
STAT3006,2,Statistical Learning,Statistics (Major)
