code,unit,title,major
ECON2410,2,Economics of Business Strategy,
ECON2420,2,The Macroeconomy & Business Conditions,
ECON2070,2,Introduction to Strategic Thinking,
ECON2200,2,Management of Financial Institutions,
ECON3210,2,Financial Markets & Institutions,
ECON3430,2,Managerial Economics,
ECON3440,2,Competition Policy and Regulation,
ECON3820,2,Understanding China,
BISM2202,2,Data Analytics and Information Management,
BISM2207,2,Managing Business Data,
BISM3208,2,Information Systems Strategy,
BISM3222,2,Information Analysis and System Design,
BISM2203,2,Business Process Management,
BISM3205,2,Business Information Security,
BISM3206,2,Advanced Data Analytics,
"[	
	BIOL1020",2,"Genes, Cells & Evolution",Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	BIOL1040",2,Cells to Organisms,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	MATH1051",2,Calculus & Linear Algebra I,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	MATH1071",2,Advanced Calculus & Linear Algebra I,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	PHYS1001",2,Mechanics & Thermal Physics I,Chemical Sciences (Dual Major)
CHEM1100,2,Chemistry 1,Chemical Sciences (Dual Major)
CHEM1200,2,Chemistry 2,Chemical Sciences (Dual Major)
CHEM2050,2,Intermediate Chemistry 1,Chemical Sciences (Dual Major)
CHEM2054,2,Experimental Chemistry,Chemical Sciences (Dual Major)
CHEM2060,2,Intermediate Chemistry 2,Chemical Sciences (Dual Major)
CHEM3016,2,Advanced Experimental Chemistry,Chemical Sciences (Dual Major)
CHEM3001,2,Advanced Organic Chemistry,Chemical Sciences (Dual Major)
CHEM3010,2,Advanced Inorganic Chemistry,Chemical Sciences (Dual Major)
CHEM3011,2,Advanced Physical Chemistry,Chemical Sciences (Dual Major)
CHEM3004,2,Determination of Molecular Structure,Chemical Sciences (Dual Major)
CHEM3030,2,Nanomaterials and Self-Assembled Systems,Chemical Sciences (Dual Major)
BIOC2000,2,Biochemistry & Molecular Biology,Chemical Sciences (Dual Major)
BIOL2200,2,Cell Structure & Function,Chemical Sciences (Dual Major)
BIPH2000,2,Foundations of Biophysics,Chemical Sciences (Dual Major)
CHEE2001,2,Process Principles,Chemical Sciences (Dual Major)
CHEM2052,2,Chemical Biology,Chemical Sciences (Dual Major)
CHEM2058,2,Translational Chemistry and Data Processing,Chemical Sciences (Dual Major)
COSC2500,2,Numerical Methods in Computational Science,Chemical Sciences (Dual Major)
