code,unit,title,major
"[	
	BIOL1020",2,"Genes, Cells & Evolution",Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	BIOL1040",2,Cells to Organisms,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	MATH1051",2,Calculus & Linear Algebra I,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	MATH1071",2,Advanced Calculus & Linear Algebra I,Chemical Sciences (Dual Major)
[ or,NA,[ or,Chemical Sciences (Dual Major)
"[	
	PHYS1001",2,Mechanics & Thermal Physics I,Chemical Sciences (Dual Major)
CHEM1100,2,Chemistry 1,Chemical Sciences (Dual Major)
CHEM1200,2,Chemistry 2,Chemical Sciences (Dual Major)
CHEM2050,2,Intermediate Chemistry 1,Chemical Sciences (Dual Major)
CHEM2054,2,Experimental Chemistry,Chemical Sciences (Dual Major)
CHEM2060,2,Intermediate Chemistry 2,Chemical Sciences (Dual Major)
CHEM3016,2,Advanced Experimental Chemistry,Chemical Sciences (Dual Major)
CHEM3001,2,Advanced Organic Chemistry,Chemical Sciences (Dual Major)
CHEM3010,2,Advanced Inorganic Chemistry,Chemical Sciences (Dual Major)
CHEM3011,2,Advanced Physical Chemistry,Chemical Sciences (Dual Major)
CHEM3004,2,Determination of Molecular Structure,Chemical Sciences (Dual Major)
CHEM3030,2,Nanomaterials and Self-Assembled Systems,Chemical Sciences (Dual Major)
BIOC2000,2,Biochemistry & Molecular Biology,Chemical Sciences (Dual Major)
BIOL2200,2,Cell Structure & Function,Chemical Sciences (Dual Major)
BIPH2000,2,Foundations of Biophysics,Chemical Sciences (Dual Major)
CHEE2001,2,Process Principles,Chemical Sciences (Dual Major)
CHEM2052,2,Chemical Biology,Chemical Sciences (Dual Major)
CHEM2058,2,Translational Chemistry and Data Processing,Chemical Sciences (Dual Major)
COSC2500,2,Numerical Methods in Computational Science,Chemical Sciences (Dual Major)
MATH2100,2,Applied Mathematical Analysis,Chemical Sciences (Dual Major)
PHYS2020,2,Thermodynamics & Condensed Matter Physics,Chemical Sciences (Dual Major)
PHYS2041,2,Introduction to Quantum Mechanics,Chemical Sciences (Dual Major)
SCIE2020,2,CSI UQ: Introduction to Forensic Science,Chemical Sciences (Dual Major)
SCIE2100,2,Introduction to Bioinformatics,Chemical Sciences (Dual Major)
BIPH3001,2,Frontiers in Biophysics,Chemical Sciences (Dual Major)
CHEE3301,2,Polymer Engineering,Chemical Sciences (Dual Major)
CHEE4302,2,Electrochemistry & Corrosion,Chemical Sciences (Dual Major)
CHEE4305,2,Biomaterials: Materials in Medicine,Chemical Sciences (Dual Major)
CHEM3001,2,Advanced Organic Chemistry,Chemical Sciences (Dual Major)
CHEM3010,2,Advanced Inorganic Chemistry,Chemical Sciences (Dual Major)
CHEM3011,2,Advanced Physical Chemistry,Chemical Sciences (Dual Major)
COSC3000,2,"Visualization, Computer Graphics & Data Analysis",Chemical Sciences (Dual Major)
PHYS3825,2,Advanced Experimental Skills,Chemical Sciences (Dual Major)
BIOC2000,2,Biochemistry & Molecular Biology,Chemical Sciences (Dual Major)
BIOC3000,2,Advanced Biochemistry and Molecular Biology,Chemical Sciences (Dual Major)
CHEM3001,2,Advanced Organic Chemistry,Chemical Sciences (Dual Major)
