code,unit,title,major
WRIT1110,2,Creative Writing: Narrative Fiction,Writing
ENGL1500,2,Contemporary Literature: Reading & Writing,Writing
WRIT1005,2,Fundamentals of Academic Writing,Writing
WRIT2250,2,"Writing: Grammar, Syntax, and Style",Writing
DRAM3102,2,Playwriting & Dramaturgy: Creative Practice,Writing
ENGL3020,2,"Journals, Repositories & Conferences Internship",Writing
WRIT2000,2,Writing & Editing for the Professions,Writing
WRIT2050,2,Creative Writing: Genre Fiction,Writing
WRIT2100,2,Creative Writing: Poetics,Writing
WRIT2120,2,Creative Writing: Screenwriting,Writing
WRIT3000,2,Writing: Advanced Project,Writing
WRIT3050,2,Creative Writing: Non-Fiction,Writing
WRIT3700,2,"Publishing, Editing, and Authorship",Writing
WRIT1110,2,Creative Writing: Narrative Fiction,Writing
ENGL1500,2,Contemporary Literature: Reading & Writing,Writing
WRIT1005,2,Fundamentals of Academic Writing,Writing
WRIT2250,2,"Writing: Grammar, Syntax, and Style",Writing
DRAM3102,2,Playwriting & Dramaturgy: Creative Practice,Writing
ENGL2070,2,"Contemporary British and American Fiction: Ethics, Politics,and Literature",Writing
ENGL3020,2,"Journals, Repositories & Conferences Internship",Writing
WRIT2000,2,Writing & Editing for the Professions,Writing
WRIT2050,2,Creative Writing: Genre Fiction,Writing
WRIT2100,2,Creative Writing: Poetics,Writing
WRIT2120,2,Creative Writing: Screenwriting,Writing
WRIT3000,2,Writing: Advanced Project,Writing
WRIT3050,2,Creative Writing: Non-Fiction,Writing
WRIT3700,2,"Publishing, Editing, and Authorship",Writing
ABTS1000,2,"Indigenous Australian Issues: Past, Present, Future",Aboriginal&TorresStrait Islander Studies
ABTS1010,2,Torres Strait Islander Studies,Aboriginal&TorresStrait Islander Studies
ABTS2010,2,Indigenous Women and Men: Gendered Business,Aboriginal&TorresStrait Islander Studies
ABTS2020,2,"Contemporary Indigenous knowledge, thought and philosophy",Aboriginal&TorresStrait Islander Studies
ABTS2060,2,"Contemporary Indigenous Social Organisation: Identity, family, community, nation",Aboriginal&TorresStrait Islander Studies
