code,unit,title,major
BIOL1020,2,"Genes, Cells & Evolution",Genetics (Major)
BIOL1030,2,Global Challenges in Biology,Genetics (Major)
CHEM1100,2,Chemistry 1,Genetics (Major)
BIOL2202,2,Genetics,Genetics (Major)
BIOL3004,2,Genomics & Bioinformatics,Genetics (Major)
BIOC2000,2,Biochemistry & Molecular Biology,Genetics (Major)
BIOL2006,2,Biostatistics & Experimental Design,Genetics (Major)
BIOL2010,2,Ecology,Genetics (Major)
BIOL2201,2,Evolution,Genetics (Major)
BIOL2203,2,Plant Biology,Genetics (Major)
BIOL2204,2,Zoology,Genetics (Major)
MICR2000,2,Microbiology & Immunology,Genetics (Major)
SCIE2100,2,Introduction to Bioinformatics,Genetics (Major)
BIOC3003,2,Human Molecular Genetics & Disease,Genetics (Major)
BIOC3005,2,Molecular Systems Biology,Genetics (Major)
BIOL3014,2,Advanced Bioinformatics,Genetics (Major)
BIOL3202,2,Plant Biology II,Genetics (Major)
BIOL3203,2,Plant Molecular Biology & Biotechnology,Genetics (Major)
BIOL3209,2,"Biodiversity Analysis, Discovery and Systematics",Genetics (Major)
BIOL3222,2,Model Organism Genetics,Genetics (Major)
BIOL3310,2,Macroecology and Biogeography,Genetics (Major)
BIOL3350,2,Genetics and Evolution of Complex Traits: From Humans to Non-Model Organisms,Genetics (Major)
BIOL3380,2,Laboratory Skills in Genetic Research,Genetics (Major)
BIOL3390,2,Genome Evolution,Genetics (Major)
DEVB3002,2,Stem Cells and Regenerative Medicine,Genetics (Major)
MICR3002,2,Virology,Genetics (Major)
MICR3003,2,Molecular Microbiology,Genetics (Major)
MICR3004,2,Microbial Genomics,Genetics (Major)
GEOM1000,2,Fundamentals of Geographic Information and Technologies,Geographical Sciences (Major)
GEOS1100,2,Environment & Society,Geographical Sciences (Major)
GEOS3102,2,Global Change: Problems and Prospects,Geographical Sciences (Major)
ENVM2200,2,Resource Management & Environmental Planning,Geographical Sciences (Major)
GEOG2205,2,Global Population Issues,Geographical Sciences (Major)
GEOM2000,2,Introduction to Earth Observation Sciences (EOS),Geographical Sciences (Major)
GEOM2001,2,Geographical Information Systems,Geographical Sciences (Major)
GEOS2100,2,Environmental Systems,Geographical Sciences (Major)
GEOS2101,2,Climatology & Hydrology,Geographical Sciences (Major)
GEOS2103,2,Biogeography & Geomorphology,Geographical Sciences (Major)
GEOS2105,2,Geography of Australia,Geographical Sciences (Major)
GEOS2110,2,Tectonics and Geomorphology of Active Plate Boundaries,Geographical Sciences (Major)
MARS2014,2,Marine Science,Geographical Sciences (Major)
CONS3017,2,Landscape Ecology,Geographical Sciences (Major)
ENVM3115,2,Climate Change and Environmental Management,Geographical Sciences (Major)
ENVM3200,2,Coastal Processes & Management,Geographical Sciences (Major)
ENVM3201,2,Catchment Processes & Management,Geographical Sciences (Major)
ENVM3203,2,Tools for Environmental Assessment and Analysis,Geographical Sciences (Major)
GEOG3205,2,Applied Demography,Geographical Sciences (Major)
GEOM3001,2,Advanced Earth Observation Sciences (EOS),Geographical Sciences (Major)
GEOM3002,2,Advanced Geographical Information Systems,Geographical Sciences (Major)
GEOM3005,2,Geospatial Processing and Web Mapping,Geographical Sciences (Major)
GEOS3004,2,International Field Studies: Natural & Built Environments of a Selected Region,Geographical Sciences (Major)
GEOS3103,2,Progress in Geography,Geographical Sciences (Major)
GEOS3106,2,Environmental Hazards,Geographical Sciences (Major)
GEOS3107,2,"Plants, People and the Environment",Geographical Sciences (Major)
GEOS3108,2,Meteorology,Geographical Sciences (Major)
GEOS3400,2,Research Topic,Geographical Sciences (Major)
MARS3012,2,Physical-biological Oceanography,Geographical Sciences (Major)
SCIE3210,2,Research Topic in Geographical Science,Geographical Sciences (Major)
ERTH1000,2,Planet Earth: The Big Picture,Geological Sciences (Major)
GEOM1000,2,Fundamentals of Geographic Information and Technologies,Geological Sciences (Major)
ERTH2003,2,"Sedimentology, Stratigraphy and Paleoenvironments",Geological Sciences (Major)
ERTH2004,2,Structural Geology,Geological Sciences (Major)
ERTH2002,2,Paleobiology,Geological Sciences (Major)
ERTH2005,2,Mineralogy,Geological Sciences (Major)
ERTH2006,2,Igneous & Metamorphic Petrology,Geological Sciences (Major)
ERTH2020,2,Introduction to Geophysics,Geological Sciences (Major)
ERTH2050,2,Field Geology,Geological Sciences (Major)
GEOM2000,2,Introduction to Earth Observation Sciences (EOS),Geological Sciences (Major)
GEOS2110,2,Tectonics and Geomorphology of Active Plate Boundaries,Geological Sciences (Major)
ERTH3001,2,Ore Deposits & Exploration Geology,Geological Sciences (Major)
ERTH3002,2,Advanced Field Experience,Geological Sciences (Major)
ERTH3003,2,Geomicrobiology,Geological Sciences (Major)
ERTH3021,2,Exploration & Mining Geophysics,Geological Sciences (Major)
ERTH3050,2,Field Geology: Mapping in the Outback,Geological Sciences (Major)
ERTH3060,2,Advanced Structural Geology,Geological Sciences (Major)
ERTH3103,2,Sedimentary Environments,Geological Sciences (Major)
ERTH3104,2,Tectonics and Crustal Evolution,Geological Sciences (Major)
ERTH3110,2,Marine Geoscience and Paleoceanography,Geological Sciences (Major)
ERTH3203,2,Energy Resources,Geological Sciences (Major)
ERTH3205,2,Geochemistry and Geochronology,Geological Sciences (Major)
ERTH3212,2,Geology of Coral Reefs,Geological Sciences (Major)
ERTH3222,2,Exploration Geochemistry,Geological Sciences (Major)
ERTH3250,2,Hydrogeology,Geological Sciences (Major)
ERTH3301,2,Ore Body Modelling,Geological Sciences (Major)
GEOM3001,2,Advanced Earth Observation Sciences (EOS),Geological Sciences (Major)
PHYS3071,2,Computational Physics,Geological Sciences (Major)
SCIE3230,2,Introduction to Research in Geological Sciences,Geological Sciences (Major)
SCIE3231,2,Research Project II in Geological Sciences,Geological Sciences (Major)
ERTH1000,2,Planet Earth: The Big Picture,Geological Sciences (Extended Major)
GEOM1000,2,Fundamentals of Geographic Information and Technologies,Geological Sciences (Extended Major)
ERTH2003,2,"Sedimentology, Stratigraphy and Paleoenvironments",Geological Sciences (Extended Major)
ERTH2004,2,Structural Geology,Geological Sciences (Extended Major)
ERTH2005,2,Mineralogy,Geological Sciences (Extended Major)
ERTH2050,2,Field Geology,Geological Sciences (Extended Major)
ERTH2002,2,Paleobiology,Geological Sciences (Extended Major)
ERTH2006,2,Igneous & Metamorphic Petrology,Geological Sciences (Extended Major)
ERTH2020,2,Introduction to Geophysics,Geological Sciences (Extended Major)
GEOM2000,2,Introduction to Earth Observation Sciences (EOS),Geological Sciences (Extended Major)
GEOS2110,2,Tectonics and Geomorphology of Active Plate Boundaries,Geological Sciences (Extended Major)
ERTH3001,2,Ore Deposits & Exploration Geology,Geological Sciences (Extended Major)
ERTH3002,2,Advanced Field Experience,Geological Sciences (Extended Major)
