code,unit,title,major
ACCT3102,2,External Reporting Issues,Accounting
ACCT4101,2,Advanced Studies in Accounting,Accounting
ACCT3101,2,Auditing & Public Practice,Accounting
ACCT3103,2,Advanced Financial Accounting,Accounting
ACCT3104,2,Management Accounting,Accounting
ACCT3105,2,Advanced Management Accounting,Accounting
BISM2206,2,Accounting Information and Software Applications,Accounting
ECON1310,2,Quantitative Economic & Business Analysis A,Accounting
LAWS3100,2,Corporations Law,Accounting
LAWS3101,2,Income Tax Law,Accounting
RBUS4999,2,Business Industry Placement,Accounting
BISM2204,2,R for Business Analytics,Business Analytics
BISM4201,2,Business Analytics: Cases and Strategies,Business Analytics
BISM2205,2,Predictive Analytics in R,Business Analytics
BISM3202,2,Machine Learning in R,Business Analytics
BISM3204,2,Data Visualisation in R,Business Analytics
BISM3209,2,Pricing and Revenue Optimisation,Business Analytics
BISM4202,2,Text Analysis in R,Business Analytics
RBUS4999,2,Business Industry Placement,Business Analytics
BISM2207,2,Managing Business Data,Business Information Systems
BISM4203,2,Advanced Studies in Business Information Systems,Business Information Systems
BISM2202,2,Data Analytics and Information Management,Business Information Systems
BISM2203,2,Business Process Management,Business Information Systems
BISM3205,2,Business Information Security,Business Information Systems
BISM3206,2,Advanced Data Analytics,Business Information Systems
BISM3222,2,Information Analysis and System Design,Business Information Systems
RBUS4999,2,Business Industry Placement,Business Information Systems
TIMS2301,2,Theory of Entrepreneurship and Innovation,Entrepreneurship and Innovation
TIMS4301,2,Entrepreneurship and Innovation Incubator,Entrepreneurship and Innovation
TIMS3302,2,Entrepreneurship,Entrepreneurship and Innovation
TIMS3304,2,Social Entrepreneurship,Entrepreneurship and Innovation
TIMS3309,2,Fundamentals of Technology and Innovation Management,Entrepreneurship and Innovation
TIMS3310,2,Entrepreneurial Leadership,Entrepreneurship and Innovation
TIMS4302,2,Business Model Innovation and Growth,Entrepreneurship and Innovation
FINM2415,2,Corporate Finance,Finance
FINM4401,2,Advanced Studies in Finance,Finance
"[	
	ECON3210",2,Financial Markets & Institutions,Finance
[ or,NA,[ or,Finance
"[	
	FINM3404",2,Banking & Lending Decisions,Finance
FINM2416,2,Asset Pricing,Finance
FINM3403,2,International Financial Management,Finance
FINM3405,2,Derivatives and Risk Management,Finance
RBUS4999,2,Business Industry Placement,Finance
MGTS2607,2,Employment Relations,Human Resources
MGTS4603,2,Advanced Studies in Human Resource Management,Human Resources
MGTS2603,2,Leading & Managing People,Human Resources
MGTS3601,2,Organisational Design & Change Management,Human Resources
MGTS3602,2,Managing Workplace Conflict,Human Resources
MGTS3603,2,Strategic Human Resource Management,Human Resources
MGTS3604,2,Human Resource Development,Human Resources
MGTS3605,2,Negotiating Employment Agreements,Human Resources
MGTS3606,2,Global Human Resource Management,Human Resources
MGTS3607,2,Managing Performance,Human Resources
RBUS4999,2,Business Industry Placement,Human Resources
IBUS3303,2,Global Production and Logistics,International Business
IBUS4301,2,Advanced Studies in International Business,International Business
IBUS2302,2,Globalisation & Business,International Business
IBUS2309,2,Understanding Cultures in International Business,International Business
IBUS3304,2,Business in Asia,International Business
IBUS3306,2,Managing International Legal Complexity,International Business
MGTS3606,2,Global Human Resource Management,International Business
RBUS4999,2,Business Industry Placement,International Business
MKTG2501,2,Consumer Behaviour,Marketing
MKTG4501,2,Advanced Studies in Marketing,Marketing
MKTG2505,2,Product and Service Management,Marketing
MKTG2508,2,Brand Management and Strategy,Marketing
MKTG2511,2,Marketing Analysis,Marketing
MKTG3501,2,Marketing Strategy,Marketing
MKTG3503,2,Sales and Account Management,Marketing
MKTG3504,2,Applied Market Research,Marketing
MKTG3509,2,Contemporary Issues in Marketing,Marketing
RBUS4999,2,Business Industry Placement,Marketing
ECON6010,2,Microeconomics A,Economics
ECON6020,2,Macroeconomics A,Economics
ECON6300,2,Advanced Microeconometrics,Economics
ECON6910,6,Honours Thesis,Economics
ECON6030,2,Microeconomics B,Economics
ECON6040,2,Macroeconomics B,Economics
RBUS6923,2,Scientific Methods in Commerce,Finance
RBUS6996,8,Honours Thesis A,Finance
"[	
	FINM6401",2,Corporate Finance Honours,Finance
[ or,NA,[ or,Finance
"[	
	FINM6402",2,Empirical Finance Honours,Finance
"[	
	FINM6401",2,Corporate Finance Honours,Finance
[ or,NA,[ or,Finance
"[	
	FINM6402",2,Empirical Finance Honours,Finance
FINM6403,2,Empirical Finance Honours II,Finance
ANCH1240,2,The Rise of Ancient Greece: Greek History to the 4th Century BC,Ancient History
ANCH1250,2,The Rise of Ancient Rome: Roman History from Romulus to Augustus,Ancient History
ANCH2030,2,"Myth, Magic and Religion in the Ancient World",Ancient History
ANCH2040,2,The World of Classical Athens: Politics and Society,Ancient History
ANCH2050,2,Ancient World Study Tour: Sites and Museums,Ancient History
ANCH2070,2,Study Tour: Sites and Museums of Roman Italy,Ancient History
ANCH2130,2,Alexander the Great and the Hellenistic World,Ancient History
ANCH2230,2,The Roman Empire: Politics and Society,Ancient History
ANCH2250,2,The Career and Influence of Julius Caesar,Ancient History
ANCH2270,2,Art & Archaeology of Ancient Rome,Ancient History
ANCH2280,2,Roman Society & Civilisation,Ancient History
ANCH2290,2,Art & Archaeology of Ancient Greece,Ancient History
ANCH2310,2,Individuals and the State in the Roman Republic,Ancient History
ANCH2431,2,The World of Late Antiquity,Ancient History
ANCH2500,2,Ancient History and Modern Cinema,Ancient History
ANCH2900,2,R.D. Milns Antiquities Museum International Internship and Field,Ancient History
DRAM2090,2,Ancient Greek and Roman Theatre,Ancient History
GREK2120,2,Intermediate Greek,Ancient History
GREK2230,2,Greek Language & Literature 1,Ancient History
LATN2120,2,Intermediate Latin,Ancient History
LATN2230,2,Latin Language & Literature 1,Ancient History
WRIT3100,2,Writing Ancient History,Ancient History
ANCH3020,2,Special Topic in Greek History,Ancient History
ANCH3030,2,Special Topic in Roman History,Ancient History
ANCH1240,2,The Rise of Ancient Greece: Greek History to the 4th Century BC,Ancient History
ANCH1250,2,The Rise of Ancient Rome: Roman History from Romulus to Augustus,Ancient History
ANCH2030,2,"Myth, Magic and Religion in the Ancient World",Ancient History
ANCH2040,2,The World of Classical Athens: Politics and Society,Ancient History
ANCH2050,2,Ancient World Study Tour: Sites and Museums,Ancient History
ANCH2070,2,Study Tour: Sites and Museums of Roman Italy,Ancient History
ANCH2130,2,Alexander the Great and the Hellenistic World,Ancient History
ANCH2230,2,The Roman Empire: Politics and Society,Ancient History
ANCH2250,2,The Career and Influence of Julius Caesar,Ancient History
ANCH2270,2,Art & Archaeology of Ancient Rome,Ancient History
ANCH2280,2,Roman Society & Civilisation,Ancient History
ANCH2290,2,Art & Archaeology of Ancient Greece,Ancient History
ANCH2310,2,Individuals and the State in the Roman Republic,Ancient History
ANCH2431,2,The World of Late Antiquity,Ancient History
ANCH2500,2,Ancient History and Modern Cinema,Ancient History
ANCH2900,2,R.D. Milns Antiquities Museum International Internship and Field,Ancient History
DRAM2090,2,Ancient Greek and Roman Theatre,Ancient History
GREK1110,2,Introductory Greek,Ancient History
LATN1110,2,Introductory Latin,Ancient History
GREK2120,2,Intermediate Greek,Ancient History
GREK2230,2,Greek Language & Literature 1,Ancient History
LATN2120,2,Intermediate Latin,Ancient History
LATN2230,2,Latin Language & Literature 1,Ancient History
WRIT3100,2,Writing Ancient History,Ancient History
ANCH3020,2,Special Topic in Greek History,Ancient History
ANCH3030,2,Special Topic in Roman History,Ancient History
ARTT1105,2,Art in the Modern World,Art History
ARTT1106,2,Looking at Art,Art History
ARTT2103,2,Australia Pacific Indigenous Arts,Art History
ARTT2102,2,Renaissance Art,Art History
ARTT2105,2,"Baroque and Beyond, 1600-1900",Art History
ARTT2107,2,Asian Contemporary Art,Art History
ARTT2127,2,Australian Art,Art History
ARTT3117,2,Visual Arts Curating and Writing,Art History
MSTU2140,2,Studies in Photography,Art History
ARTT2116,2,Art and Architecture in Venice,Art History
ARTT2200,2,Indigenous Art and Culture Field School,Art History
ARTT3200,2,Art Internships & Independent Research,Art History
ARTT3100,2,Readings in Art History,Art History
ARTT3101,2,Topics in Contemporary Art,Art History
ARTT1105,2,Art in the Modern World,Art History
ARTT1106,2,Looking at Art,Art History
ARTT2103,2,Australia Pacific Indigenous Arts,Art History
ARTT2102,2,Renaissance Art,Art History
ARTT2105,2,"Baroque and Beyond, 1600-1900",Art History
ARTT2107,2,Asian Contemporary Art,Art History
ARTT2116,2,Art and Architecture in Venice,Art History
ARTT2127,2,Australian Art,Art History
ARTT2200,2,Indigenous Art and Culture Field School,Art History
ARTT3117,2,Visual Arts Curating and Writing,Art History
ARTT3200,2,Art Internships & Independent Research,Art History
MSTU2140,2,Studies in Photography,Art History
ANCH2270,2,Art & Archaeology of Ancient Rome,Art History
ANCH2290,2,Art & Archaeology of Ancient Greece,Art History
PHIL2500,2,Philosophy & Art,Art History
ARTT3100,2,Readings in Art History,Art History
ARTT3101,2,Topics in Contemporary Art,Art History
