course_name,course_code,meta,meta_second
Recital 1,MUSI90100,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
"Identity, Culture and the Arts",EDUC90608,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Paediatric Intensive Care Nursing 2,NURS90087,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Minor Thesis,MUSI90137,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Interfacial Chemistry and Sonochemistry,CHEM90053,"Offered March, 2020","Graduate coursework, 6.25 credit points "
Clinical Education Modules,EDUC90801,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Research Design 1,DENT90011,"Offered Semester 1, 2020","Graduate coursework, 6.25 credit points "
Learning Processes and Problems,EDUC90226,"Offered July, 2020","Graduate coursework, 6.25 credit points "
Quantitative Methods for Business,ECOM90009,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Alexander Technique for Daily Function,MUST10012,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Web Security,COMP90074,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Contemporary Cultural Theory & Research,CULS90008,"Offered July, 2020","Graduate coursework, 6.25 credit points "
Foundations of Working with Adolescents,PSYT90032,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Dance Skills 1,MUST10001,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Architectural Practice,ABPL90140,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Remedies in Commercial Law,LAWS70402,"Offered June, 2020","Graduate coursework Level 7, 12.5 credit points "
Sociology Thesis Part 1,SOCI40006,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Studio Studies 6,FINA30002,"Offered Semester 2, 2020","Undergraduate Level 3, 37.5 credit points "
Leading Educational Ideas,EDUC90619,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Advanced Asset Strategy Applications,ABPL90415,"Offered November, 2020","Graduate coursework, 12.5 credit points "
Research Project Part 3,MAST90121,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Dissertation Part 2,MUSI40105,"Offered Semester 1, Semester 2, 2020","Honours, 18.75 credit points "
Industrial Systems and Simulation,MCEN90053,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Learning Area Science 2,EDUC90474,"Offered Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Environmental Industry Research (25),ENST90025,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Study Design in Clinical Research,CLRS90011,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Thermodynamics,MCEN90015,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Youth Mental Health Research Project 1,PSYT90106,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Geography Minor Research Project Part 1,GEOG90031,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Design Communications Workshop (P/G),ABPL90167,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Audiovisual Communication,MECM90031,"Offered Semester 1, Winter Term, Semester 2, 2020","Graduate coursework, 12.5 credit points "
International Financial System,LAWS70110,"Offered March, 2020","Graduate coursework Level 7, 12.5 credit points "
Practical Music 1,MUSI10220,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Place Making for The Built Environment,ABPL90404,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Music Therapy Methods 4,MUSI90035,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Copyright and Designs,LAWS90074,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Managing Diversity,MGMT90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ensemble Studies 6,MUSI30226,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Advanced Seminars in Specialty 1,DENT90021,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Music Psychology,MUSI40075,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Studio Teaching 1,MUSI90192,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 6.25 credit points "
German Thesis Part 1,GERM40016,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Conservation Professional Practices,CUMC90026,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Romanticism and Modernity,ENGL40007,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Operations,BUSA90228,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Attachment or Research Project,FLTV30016,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 3, 12.5 credit points "
Research Paper,MUSI40084,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Paris! Berlioz to the Ballets Russes,MUSI40027,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Creative Arts Therapies in Education,CREA90007,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Autism Intervention,EDUC90859,"Offered Term 1, Term 3, 2020","Graduate coursework, 12.5 credit points "
ZEMCH Sustainable Design Workshop,ABPL90394,"Offered February, 2020","Graduate coursework, 12.5 credit points "
BioSciences Minor Research Project Part1,BIOL90029,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
MLS Tax Clinic,LAWS90164,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Arts of East Asia,AHIS20021,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Monetary Economics,ECON90011,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Major Project (Theatre Practice),DRAM40003,"Offered Year Long, 2020","Honours, 75 credit points "
Algebraic Geometry,MAST90097,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Project in Comp Biology Pt1,SCIE90021,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 37.5 credit points "
Mathematics of Finance I,ACTL90001,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Design Studio 2,DPSS20005,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Audiovisual Communication,MECM90031,"Offered Semester 1, Winter Term, Semester 2, 2020","Graduate coursework, 12.5 credit points "
International Financial System,LAWS70110,"Offered March, 2020","Graduate coursework Level 7, 12.5 credit points "
Practical Music 1,MUSI10220,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Place Making for The Built Environment,ABPL90404,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Music Therapy Methods 4,MUSI90035,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Copyright and Designs,LAWS90074,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Managing Diversity,MGMT90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ensemble Studies 6,MUSI30226,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Advanced Seminars in Specialty 1,DENT90021,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Music Psychology,MUSI40075,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Studio Teaching 1,MUSI90192,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 6.25 credit points "
German Thesis Part 1,GERM40016,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Conservation Professional Practices,CUMC90026,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Romanticism and Modernity,ENGL40007,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Operations,BUSA90228,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Attachment or Research Project,FLTV30016,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 3, 12.5 credit points "
Research Paper,MUSI40084,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Paris! Berlioz to the Ballets Russes,MUSI40027,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Creative Arts Therapies in Education,CREA90007,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Autism Intervention,EDUC90859,"Offered Term 1, Term 3, 2020","Graduate coursework, 12.5 credit points "
ZEMCH Sustainable Design Workshop,ABPL90394,"Offered February, 2020","Graduate coursework, 12.5 credit points "
BioSciences Minor Research Project Part1,BIOL90029,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
MLS Tax Clinic,LAWS90164,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Arts of East Asia,AHIS20021,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Monetary Economics,ECON90011,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Major Project (Theatre Practice),DRAM40003,"Offered Year Long, 2020","Honours, 75 credit points "
Algebraic Geometry,MAST90097,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Project in Comp Biology Pt1,SCIE90021,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 37.5 credit points "
Mathematics of Finance I,ACTL90001,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Design Studio 2,DPSS20005,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Applied Microeconometric Modelling,ECOM90003,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ventricular Function,MEDI90051,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
"Strategy, Ethics & Governance",MGMT90049,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Translation Industry Project,TRAN90022,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Methods (Production),THTR40009,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Art History Thesis Part 1,AHIS40023,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Context of Surgical Education,MEDS90006,"Offered January, 2020","Graduate coursework, 12.5 credit points "
Engineering Entrepreneurship,ENGR90026,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Genetic Counselling Practice 1,WELF90009,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Landscape Studio 4: Designed Ecologies,ABPL30061,"Offered Semester 2, 2020","Undergraduate Level 3, 25 credit points "
Honours Chinese B,CHIN90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Brass Ensemble 2,MUSI20074,"Offered Semester 2, 2020","Undergraduate Level 2, 6.25 credit points "
Urban Design for People and Places,PLAN20002,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Plant Production Systems,AGRI10048,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Sustainability Governance and Leadership,MULT90004,"Offered March, July, 2020","Graduate coursework, 12.5 credit points "
"Oral Medicine, Surgery and Special Needs",DENT90121,"Offered January, 2020","Graduate coursework, 25 credit points "
Econometrics 2,ECOM90002,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Critical and Theoretical Studies 3,FINA20029,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Energy Supply and Value Chains,ENGR90032,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Radiology Part 1,RADI90011,"Offered Semester 1, 2020","Graduate coursework, 16.66 credit points "
Health Promotion,POPH90020,"Offered March, 2020","Graduate coursework, 12.5 credit points "
The Art of Narrative Practice,SCWK90062,"Offered Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Brand Management,BUSA90014,"Offered Summer Term, April, June, 2020","Graduate coursework, 12.5 credit points "
B2B Electronic Commerce,ISYS90034,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Participatory Planning,ABPL90315,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Project Part 1,MAST90119,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Patents and Trade Secrets,LAWS90075,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Treaty: Indigenous-settler Agreements,LAWS90191,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Business and Government,POLS90015,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Causal Inference,MAST90140,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Media and Communications Thesis Part 1,MECM90029,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 18.75 credit points "
HR Consulting,MGMT90017,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Vision Science Research Project Part 1,OPTO40012,"Offered Semester 1, 2020","Honours, 25 credit points "
Textual Revelations,INDG40002,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Project Management,MGMT90128,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Unilateral Conduct,LAWS90066,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Genealogies of Place,CWRI40009,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Industry Investigation Project B,FLTV90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ethics In Finance,FNCE90057,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Endodontics 1,DENT90087,"Offered Year Long, 2020","Graduate coursework, 75 credit points "
Body Balance,DNCE10020,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 1, 6.25 credit points "
Digital Health Information Services,HLTH90020,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Data Assimilation and Model Improvement,ATOC90015,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Studies in Ethnomusicology 1,MUSI90006,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Declarative Programming,COMP90048,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Enterprise Architecture Applications,ISYS90096,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Economics For Public Policy,ECON90029,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Film Production: From Script to Screen,SCRN90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Innovation and Entrepreneurship Strategy,MGMT90182,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Performance and Community Engagement,THTR90009,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Spectroscopy of Metal Complexes,CHEM90050,"Offered March, 2020","Graduate coursework, 6.25 credit points "
Internet Communication,MECM20003,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Signal Processing,ELEN90058,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Foundations in Cancer Nursing,NURS90121,"Offered Term 2, Term 4, 2020","Graduate coursework, 12.5 credit points "
Nursing Specialty 2,NURS90113,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Design Projects 1,THTR70014,"Offered Year Long, 2020","Graduate coursework Level 7, 50 credit points "
Muscle and Exercise Physiology,PHYS30005,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Leadership and Management,PHTY90107,"Offered Semester 1 (Extended), 2020","Graduate coursework, 12.5 credit points "
Dental Research Project A,DENT90119,"Offered Year Long (Extended), 2020","Graduate coursework, 12.5 credit points "
Health Program Evaluation 1,POPH90058,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Media and Communications Thesis Part 1,MECM90029,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 18.75 credit points "
HR Consulting,MGMT90017,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Vision Science Research Project Part 1,OPTO40012,"Offered Semester 1, 2020","Honours, 25 credit points "
Textual Revelations,INDG40002,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Project Management,MGMT90128,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Unilateral Conduct,LAWS90066,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Genealogies of Place,CWRI40009,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Industry Investigation Project B,FLTV90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ethics In Finance,FNCE90057,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Endodontics 1,DENT90087,"Offered Year Long, 2020","Graduate coursework, 75 credit points "
Evaluating the User Experience,INFO90004,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Rural Critical Care Nursing Practice,NURS90095,"Offered Year Long, 2020","Graduate coursework, 12.5 credit points "
Business Tools: Money People & Processes,BUSA90403,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Geography Research Project Part 4,GEOG90050,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 37.5 credit points "
Clinical Teaching Practice (Sec) 3,EDUC90910,"Offered Semester 1 (Early-Start), October, 2020","Graduate coursework, 12.5 credit points "
Installations and Happenings,ABPL30069,"Offered Summer Term, 2020","Undergraduate Level 3, 12.5 credit points "
Specific Learning Difficulties: Literacy,EDUC90195,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Performance & Reward Management,MGMT90016,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Ensemble Studies 1,MUSI10181,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Computer Science Research Project Pt1,COMP90062,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 37.5 credit points "
Advanced Psychopathology,PSYC90015,"Offered Semester 2, 2020","Graduate coursework, 6.25 credit points "
Cognitive Neuroscience and Disorders,PSYC90083,"Offered Semester 2, 2020","Graduate coursework, 6.25 credit points "
The Anthropological Imagination,ANTH30013,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Categorical Data & GLMs,POPH90121,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Thesis Capstone - Part 2,MEDI90099,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Conservatorium Choir 2,MUSI10059,"Offered Semester 2, 2020","Undergraduate Level 1, 6.25 credit points "
Understanding The Life Course,SOCI40003,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Quantitative Methods,MULT90054,"Offered Semester 2, 2020","Graduate coursework, 6.25 credit points "
Inquiry Learning in the Humanities(EC&P),EDUC91003,"Offered July, 2020","Graduate coursework, 6.25 credit points "
Game Theory for Business Strategy,BUSA90491,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Atmosphere Ocean Interaction and Climate,ATOC90005,"Offered Summer Term, 2020","Graduate coursework, 12.5 credit points "
Music Making Laboratory 6,MUSI30232,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Fitness to Practice 2,WELF90007,"Offered Semester 2, 2020","Graduate coursework, 6.25 credit points "
Strategic Awareness and Business Acumen,MGMT90212,"Offered Summer Term, September, 2020","Graduate coursework, 6.25 credit points "
"Microbes, Infections and Responses",MIIM20002,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Advanced Practice 2,MECM90025,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Climate Modelling and Climate Change,ERTH90026,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Animal Law and Policy,LAWS90168,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Urban and Landscape Heritage,ABPL90075,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Food Chemistry,FOOD90022,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Production Practice 4,DPSS30001,"Offered Year Long, 2020","Undergraduate Level 3, 50 credit points "
Global Campaigning: NGOs and Movements,POLS90041,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design and Property Industry Studies,PROP20003,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Statutory Valuation (PG),ABPL90045,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Development Economics,ECON90023,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research and Evidence 2,PHTY90101,"Offered Semester 1 (Extended), 2020","Graduate coursework, 12.5 credit points "
Human Structure and Function,BIOM20002,"Offered Semester 2, 2020","Undergraduate Level 2, 25 credit points "
Indigenous First Principles,INDG40001,"Offered Semester 2, 2020","Honours, 12.5 credit points "
PhD Research,LING80001,"Offered Time-based Research, 2020","Doctorate time-based research, 0 credit points "
International Real Estate Economics,ABPL90339,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Foundation Mathematics 2,MAST10015,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Agronomy & Cropping Systems,AGRI90058,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Macroeconomics II,ECON90014,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Veterinary Clinical Skills,VETS40017,"Offered Semester 1 (Early-Start), Semester 2, 2020","Undergraduate Level 4, 50 credit points "
Oral Surgery and Special Needs Dentistry,DENT90082,"Offered Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Project in Biomedical Science,BIOM90014,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Brass Ensemble 1,MUSI20073,"Offered Semester 1, 2020","Undergraduate Level 2, 6.25 credit points "
SocioEnvironmentalContext of Adolescents,POPH90172,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Modelling the Australian Macroeconomy,ECOM90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Criminal Law and Procedure,LAWS50034,"Offered Semester 2, 2020","Graduate coursework Level 5, 12.5 credit points "
Contemporary Art in China,AHIS40013,"Offered June, 2020","Honours, 25 credit points "
Development Studies Thesis Part 1,DEVT90054,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Critical&Curatorial Practices in Design,ABPL90367,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ethics of Psychiatry,PSYT90023,"Offered June, 2020","Graduate coursework, 6.25 credit points "
Interactive Composition 2,MUSI10194,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Clinical Teaching and Preceptorship,NURS90010,"Offered July, 2020","Graduate coursework, 12.5 credit points "
International Criminal Law,LAWS70033,"Offered August, 2020","Graduate coursework Level 7, 12.5 credit points "
Global Child Health,POPH90086,"Offered October, 2020","Graduate coursework, 12.5 credit points "
Advanced Microeconomics,ECON90063,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Macroeconomics 2,ECON90047,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Production Practice 4,DPSS30001,"Offered Year Long, 2020","Undergraduate Level 3, 50 credit points "
Global Campaigning: NGOs and Movements,POLS90041,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design and Property Industry Studies,PROP20003,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Statutory Valuation (PG),ABPL90045,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Development Economics,ECON90023,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research and Evidence 2,PHTY90101,"Offered Semester 1 (Extended), 2020","Graduate coursework, 12.5 credit points "
Human Structure and Function,BIOM20002,"Offered Semester 2, 2020","Undergraduate Level 2, 25 credit points "
Indigenous First Principles,INDG40001,"Offered Semester 2, 2020","Honours, 12.5 credit points "
PhD Research,LING80001,"Offered Time-based Research, 2020","Doctorate time-based research, 0 credit points "
International Real Estate Economics,ABPL90339,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Foundation Mathematics 2,MAST10015,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Agronomy & Cropping Systems,AGRI90058,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Macroeconomics II,ECON90014,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Veterinary Clinical Skills,VETS40017,"Offered Semester 1 (Early-Start), Semester 2, 2020","Undergraduate Level 4, 50 credit points "
Oral Surgery and Special Needs Dentistry,DENT90082,"Offered Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Project in Biomedical Science,BIOM90014,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Brass Ensemble 1,MUSI20073,"Offered Semester 1, 2020","Undergraduate Level 2, 6.25 credit points "
SocioEnvironmentalContext of Adolescents,POPH90172,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Modelling the Australian Macroeconomy,ECOM90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Criminal Law and Procedure,LAWS50034,"Offered Semester 2, 2020","Graduate coursework Level 5, 12.5 credit points "
Contemporary Art in China,AHIS40013,"Offered June, 2020","Honours, 25 credit points "
Development Studies Thesis Part 1,DEVT90054,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Critical&Curatorial Practices in Design,ABPL90367,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Ethics of Psychiatry,PSYT90023,"Offered June, 2020","Graduate coursework, 6.25 credit points "
Interactive Composition 2,MUSI10194,"Offered Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Clinical Teaching and Preceptorship,NURS90010,"Offered July, 2020","Graduate coursework, 12.5 credit points "
International Criminal Law,LAWS70033,"Offered August, 2020","Graduate coursework Level 7, 12.5 credit points "
Global Child Health,POPH90086,"Offered October, 2020","Graduate coursework, 12.5 credit points "
Advanced Microeconomics,ECON90063,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Macroeconomics 2,ECON90047,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Researching Audiences and Reception,MECM40003,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Information Technology Contracting Law,LAWS70362,"Offered October, 2020","Graduate coursework Level 7, 12.5 credit points "
Biometry,BIOL90002,"Offered July, 2020","Graduate coursework, 12.5 credit points "
German in a Global World,GERM90002,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Minor Thesis 2,DENT90110,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Independent Dance Contract A,DNCE20023,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 2, 12.5 credit points "
Digital Protocols,CUMC90022,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Clinical Teaching Practice (Prim) 3,EDUC90879,"Offered Semester 1 (Extended), July, 2020","Graduate coursework, 12.5 credit points "
Contracts,LAWS50029,"Offered Semester 2, 2020","Graduate coursework Level 5, 12.5 credit points "
Dance Movement Therapy Methods 2,CREA90011,"Offered Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Rural and Urban Development Strategies,DEVT90047,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Print Production and Design,PUBL90010,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Clinical Placement 2,PSYC90077,"Offered Year Long, 2020","Graduate coursework, 18.75 credit points "
Quantum and Advanced Optics,PHYC90006,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
From Lab to Life,SCIE90011,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Rural Critical Care Nursing 2,NURS90089,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
The Dancer as Artist,DNCE10028,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Analysis of Biological Data,MAST20031,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
BioSciences Honours Research Project Pt2,BIOL40007,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Honours, 25 credit points "
Negotiation and Dispute Resolution,LAWS90080,"Offered May, 2020","Graduate coursework, 12.5 credit points "
Screenwriting and Creative Development,FLTV90019,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Cancer Nursing Practice 1,NURS90135,"Offered Term 2, 2020","Graduate coursework, 6.25 credit points "
Indigenous Health & History Insights,POPH90296,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
International Business Transactions,LAWS70392,"Offered May, October, 2020","Graduate coursework Level 7, 12.5 credit points "
