course_name,course_code,meta,meta_second
Fundamentals of Surgery III,SURG90025,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Learning Area SOSE 1,EDUC90447,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Learning Area Music B 2,EDUC90466,"Offered Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Business Analytics,BUSA90493,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Professional Literacies,ESLA90003,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Analytics Lab,BUSA90502,"Offered August, 2020","Graduate coursework, 25 credit points "
Physics Research Project Pt1,PHYC40010,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Undergraduate Level 4, 25 credit points "
Primary Mathematics Education 1,EDUC90778,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Effective University Teaching,EDUC90002,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Design and Analysis for Neurosciences A,NEUR90007,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Audiences and the Arts,AMGT90006,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Animation Laboratory 2,FLTV20013,"Offered Semester 2, 2020","Undergraduate Level 2, 12.5 credit points "
Publishing and Communications Thesis Pt1,PUBL90022,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 18.75 credit points "
Advanced Studies in Biochemistry,BCMB40002,"Offered Semester 1 (Early-Start), 2020","Honours, 25 credit points "
Bioinformatics Research Project Pt 1,BINF90008,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Practical Music 2,MUSI10221,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Multilingual Practices in Global Times,EDUC90101,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Managing Youth Self-harm and Suicide 2,PSYT90115,"Offered September, 2020","Graduate coursework, 12.5 credit points "
East Timor Field Class,GEOG30026,"Offered March, 2020","Undergraduate Level 3, 12.5 credit points "
UQLD:International Peacekeeping,XNTS20035,"Offered Semester 1, 2020","Cross-institutional (Level 2), 12.5 credit points "
Planetary and Global Health,POPH90230,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Public Policy & Management Thesis Part 2,PPMN40007,"Offered Semester 2, 2020","Undergraduate Level 4, 18.75 credit points "
Ecosystem & Forest Science Research Pt1,NRMT40013,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Honours, 37.5 credit points "
Physiology Research Project Part 2,PHYS40006,"Offered Semester 2, 2020","Honours, 50 credit points "
Architecture Design Studio: Air,ABPL30048,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Research Proposal,DENT90108,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Sustainable Business Practices,MGMT90208,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Building Envelopes,ABPL90268,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Clinical Neuroscience Research,CLRS90016,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Project Management,MGMT90031,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Learning Area History 1,EDUC90443,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Constructed Ecologies,ABPL90263,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Agribusiness Management Economics,AGRI90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Introduction to Conservation Treatment,CUMC90028,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Landscape Ecology,FRST90015,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Behaviour & Leadership in Organisations,MGMT90040,"Offered November, 2020","Graduate coursework, 12.5 credit points "
Foundations of Finance,FNCE90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Industry Perspectives,FLTV10013,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Banking and Secured Finance,LAWS70206,"Offered May, 2020","Graduate coursework Level 7, 12.5 credit points "
Implementing Evidence for Practice,NURS90070,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Dilemmas in Journalism: Law and Ethics,JOUR90006,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Shifting Paradigms in Ageing,POPH90273,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Performance Design Studio,FINA30024,"Offered Semester 2, 2020","Undergraduate Level 3, 25 credit points "
Paediatric Palliative Care,NURS90065,"Offered July, 2020","Graduate coursework, 12.5 credit points "
