code,title,credit,location,area
ACTL5001,Thesis (Part-Time) - Actuarial Studies,6,Sydney,Actuarial Studies
ACTL5003,Research Methods in Risk and Actuarial Studies,6,Sydney,Actuarial Studies
AERO3110,Aerospace Design 1,6,Sydney,Aerospace Engineering
AERO3410,Aerospace Structures,6,Sydney,Aerospace Engineering
AERO3630,Aerodynamics,6,Sydney,Aerospace Engineering
AERO3660,Flight Performance and Propulsion,6,Sydney,Aerospace Engineering
AERO4110,Aerospace Design 2,6,Sydney,Aerospace Engineering
AERO4620,"Dynamics of Aerospace Vehicles, Systems and Avionics",6,Sydney,Aerospace Engineering
AERO9500,Space Systems Architectures and Orbits,6,Sydney,Aerospace Engineering
AERO9610,The Space Segment,6,Sydney,Aerospace Engineering
AERO9660,Advanced Aerospace Propulsion,6,Sydney,Aerospace Engineering
AERO9500,Space Systems Architectures and Orbits,6,Sydney,Aerospace Engineering
AERO9610,The Space Segment,6,Sydney,Aerospace Engineering
AERO9660,Advanced Aerospace Propulsion,6,Sydney,Aerospace Engineering
AERO9000,Research Thesis Aerospace Engineering (Full-Time),12,Sydney,Aerospace Engineering
AERO9001,Research Thesis Aerospace Engineering (Part-Time),6,Sydney,Aerospace Engineering
ANAT1521,Anatomy for Medical Science,6,Sydney,Anatomy
ANAT2111,Introductory Anatomy,6,Sydney,Anatomy
ANAT2241,Histology: Basic and Systematic,6,Sydney,Anatomy
ANAT2341,Embryology: Early and Systematic Development,6,Sydney,Anatomy
ANAT2451,Functional Anatomy for Health and Exercise Science,6,Sydney,Anatomy
ANAT2511,Fundamentals of Anatomy,6,Sydney,Anatomy
ANAT2521,Evolution of Human Structure,6,Sydney,Anatomy
ANAT3121,Visceral Anatomy,6,Sydney,Anatomy
ANAT3131,"Functional Anatomy of the Head, Neck and Back",6,Sydney,Anatomy
ANAT3141,Functional Anatomy of the Limbs,6,Sydney,Anatomy
ANAT3411,Neuroanatomy,6,Sydney,Anatomy
ARCH0006,Special Program (Architecture),6,Sydney,Architecture
ARCH1080,Introduction to Architecture and Enabling Skills,6,Sydney,Architecture
ARCH1101,Architectural Design Studio 1,6,Sydney,Architecture
ARCH1102,Architectural Design Studio 2,6,Sydney,Architecture
ARCH1161,Architectural Science and Building Environment 1,6,Sydney,Architecture
ARCH1162,Construction and Structures 1,6,Sydney,Architecture
ARCH1201,Architectural Design Studio 3,6,Sydney,Architecture
ARCH1202,Architectural Design Studio 4,6,Sydney,Architecture
ARCH1222,Architectural History and Theory 2,6,Sydney,Architecture
ARCH1261,Construction and Structures 2,6,Sydney,Architecture
ARCH1302,Architectural Design Studio 6,12,Sydney,Architecture
ARCH1311,Architectural Design Studio 5,6,Sydney,Architecture
ARCH1322,Architectural History and Theory 3,6,Sydney,Architecture
ARCH1331,Architectural Fabrication,6,Sydney,Architecture
ARCH1361,Architectural Science and Building Environment 2,6,Sydney,Architecture
ARCH1481,Critical Review of Literature,12,Sydney,Architecture
ARCH1482,Research Methods,6,Sydney,Architecture
ARCH1483,Honours Thesis,18,Sydney,Architecture
ARCH2170,Building Information Modelling,6,Sydney,Architecture
ARCH7111,Architectural Design Studio 1,6,Sydney,Architecture
ARCH7112,Integrated Design Studio,6,Sydney,Architecture
ARCH7161,Advanced Construction and Structures,6,Sydney,Architecture
ARCH7182,Professional Practice,6,Sydney,Architecture
ARCH7201,Research Studio,12,Sydney,Architecture
ARCH7202,Major Design Studio,12,Sydney,Architecture
ARCH7211,Graduation Research Studio,12,Sydney,Architecture
ARCH7212,Graduation Research Studio,12,Sydney,Architecture
ARCH7213,High Performance Building Systems,6,Sydney,Architecture
ARCH7214,Architecture and Politics,6,Sydney,Architecture
ARCH7215,Advanced Themes in Australian Architecture,6,Sydney,Architecture
ARCH7216,Designing Diversity: Architecture and Urbanism in a Multicultural Context,6,Sydney,Architecture
ARCH7218,Urban Climate Change - Mitigation and Adaptation in the Urban Built Environment,6,Sydney,Architecture
ARCH7220,Architecture and Urbanism in Asia,6,Sydney,Architecture
ARCH7227,A History of Housing,6,Sydney,Architecture
ARCH7231,Graduation Research Studio,12,Sydney,Architecture
ARCH7241,Graduation Research Studio,12,Sydney,Architecture
ARCH7251,Graduation Major Design Studio,12,Sydney,Architecture
ARCH7252,Graduation Major Design Studio,12,Sydney,Architecture
ARCH7253,Graduation Major Design Studio,12,Sydney,Architecture
ARCH7254,Graduation Major Design Studio,12,Sydney,Architecture
ARCH7304,Architecture and the City,6,Sydney,Architecture
ARCH7809,Architectural Environment & Building Services,6,Sydney,Architecture
ARCH9006,Special Program (Architecture),6,Sydney,Architecture
ARTS1010,The Life of Words,6,Sydney,Arts
ARTS1011,Inventing the Self: Creative Writing in the Digital Age,6,Sydney,Arts
ARTS1030,"Forms of Writing: Literature, Genre, Culture",6,Sydney,Arts
ARTS1031,Reading Through Time,6,Sydney,Arts
ARTS1032,The Literature Laboratory: Writing Beyond Limits,6,Sydney,Arts
ARTS1060,Introduction to Film Studies,6,Sydney,Arts
ARTS1062,"Hollywood Film: Industry, Technology, Aesthetics",6,Sydney,Arts
ARTS1064,Screen Production I,6,Sydney,Arts
ARTS1090,"Media, Culture and Everyday Life",6,Sydney,Arts
ARTS1091,"Media, Society, Politics",6,Sydney,Arts
ARTS1092,Working with Data,6,Sydney,Arts
ARTS1120,Experiencing Theatre,6,Sydney,Arts
ARTS1121,The Life of Performance,6,Sydney,Arts
ARTS1190,"Sydney: History, Landscapes, People",6,Sydney,Arts
ARTS1210,Concepts of Asia,6,Sydney,Arts
ARTS1211,Australia's Asian Context,6,Sydney,Arts
ARTS1240,Environment and Society,6,Sydney,Arts
ARTS1241,Environmental Advocacy and Activism,6,Sydney,Arts
ARTS1270,"Global History: Exploring the First Globalization, 15th-19th Century",6,Sydney,Arts
ARTS1271,History of the Present: The World since 1900,6,Sydney,Arts
ARTS1360,Truth and Human Existence: Introduction to Philosophy,6,Sydney,Arts
ARTS1361,"Mind, Ethics, and Freedom: Introduction to Philosophy",6,Sydney,Arts
ARTS1362,Critical Thinking for Today's World,6,Sydney,Arts
ARTS1450,Introductory Chinese A for Non-Background Students,6,Sydney,Arts
ARTS1451,Introductory Chinese B for Non-Background Students,6,Sydney,Arts
ARTS1452,Introductory Chinese for Background Speakers A,6,Sydney,Arts
ARTS1453,Introductory Chinese for Background Speakers B,6,Sydney,Arts
ARTS1480,Introductory French A,6,Sydney,Arts
ARTS1481,Introductory French B,6,Sydney,Arts
ARTS1510,Introductory German A,6,Sydney,Arts
ARTS1511,Introductory German B,6,Sydney,Arts
ARTS1540,Introductory Greek A,6,Sydney,Arts
ARTS1541,Introductory Greek B,6,Sydney,Arts
ARTS1570,Introductory Spanish A,6,Sydney,Arts
ARTS1571,Introductory Spanish B,6,Sydney,Arts
ARTS1620,Introductory Italian A,6,Sydney,Arts
ARTS1621,Introductory Italian B,6,Sydney,Arts
ARTS1630,Introductory Japanese A,6,Sydney,Arts
