code,title
AFCP6016,Finance Principles
AFCP6017,Case Studies in Applied Finance
AFCP6018,Quantitative and Economic Analysis
AFCP6019,Financial Statement Analysis and Modelling
AFCP8001,Portfolio Management and Valuation
AFCP8002,Professional Practice
AFCP8003,Corporate Finance
AFCP8004,Financial Instruments
AFCP8005,Financial Risk Management
AFCP8042,Mergers and Acquisitions
AFCP8045,Applied Portfolio Management
AFCP8049,Individual Research Paper
AFCP8050,Corporate Treasury Management
AFCP8054,Investment and Credit Analysis
AFCP8055,Life Cycle Investing
AFCP8056,Lending and Borrowing Decisions
AFCP8059,Advanced Valuation for Corporate Finance
AFCP8060,Applied Business Valuation
AFCP8061,Corporate Financial Strategy
AFCP8062,Capital Allocation Strategies
AFCP8063,Strategic Bank Management
AFCP8065,Individual Research Project A
AFCP8066,Individual Research Project B
AFCP8067,Investment Banking
AFCP8071,Risk and Portfolio Construction
AFCP8074,Legal Risk in Finance
AFCP8077,Project Finance
AFCP8080,Infrastructure and Property
AFCP8081,Derivatives Valuation
AFCP8082,Structured and Exotic Products
AFCP8086,Debt Capital Markets
AFCP8088,Economics of Financial Markets
AFCP8090,Equity Capital Markets
AFCP8091,Alternative Assets
AFCP8092,Resources Industry Investment Analysis
AFCP8093,Ethical Risk in Finance
AFCP8094,Private Wealth Management
AFCP8095,Private Equity Investment
AFCP8096,Credit Portfolio Management
AFCP8097,Contemporary Issues in Applied Finance
AFCP8098,Interest Rate Portfolio Management
AFCP8099,Modelling Prices and Risk
AFCX6016,Finance Principles
AFCX6017,Case Studies in Applied Finance
AFCX6018,Quantitative and Economic Analysis
AFCX6019,Financial Statement Analysis and Modelling
AFIN1002,Finance 1B
AFIN2000,Principles of Financial Literacy
AFIN2050,Investments
AFIN2053,Financial Management
AFIN2070,Stochastic Methods in Applied Finance
AFIN3010,Issues in Applied Finance
AFIN3012,Issues in Corporate Finance
AFIN3015,Research/Project
AFIN3028,Financial Risk Management
AFIN3029,Derivative Instruments
AFIN3031,Quantitative Modelling in Applied Finance
AFIN3041,Advanced Finance
AFIN3052,Applied Portfolio Management
AFIN3053,Advanced Corporate Finance
AFIN4050,Research Methodology in Actuarial Studies
AFIN6012,Core Ideas in Finance
AFIN6013,Financial Statement Analysis and Modelling
AFIN7001,Finance Theory
AFIN7002,Finance Empirical
AFIN7005,Research in Finance
AFIN7008,Corporate Finance
AFIN7039,Portfolio Management
AFIN8001,Finance Theory
AFIN8002,Finance Empirical
AFIN8003,Banking and Financial Intermediation
AFIN8005,Research Methods in Banking and Finance
AFIN8006,Risk Management and Derivatives
AFIN8008,Corporate Finance
AFIN8010,Environmental Finance
AFIN8011,Business and Global Environmental Change
AFIN8012,Fixed Income and Credit Analysis
AFIN8013,Alternative Securities
AFIN8014,FinTech and Innovation
AFIN8015,Financial Data Science
AFIN8016,"Payments, Cryptocurrencies and Blockchain"
AFIN8017,Digital Finance
AFIN8018,Investments
AFIN8028,International Investment and Risk
AFIN8036,Managing Investments
AFIN8037,Capital Markets
AFIN8038,Business Valuation
AFIN8039,Portfolio Management
AFIN8040,Personal Financial Planning
AFIN8047,Financing New Ventures
AFIN8063,Research Project A
AFIN8064,Research Project B
AFIN8067,International Financial Management
AFIN8075,Investing in Emerging Markets
AFIN8081,Professional Development in Banking and Finance
AFIN8082,Banking and Finance Internship
AFIN8090,Financial Modelling and Forecasting
AFIN8099,Current Issues in Banking and Finance
AHIS1110,Ancient Greek A
AHIS1120,Latin A
AHIS1140,Ancient Hebrew A
AHIS1150,Hieroglyphic Egyptian A
AHIS1160,Coptic Egyptian A
AHIS1200,Myth in the Ancient World
AHIS1210,Introduction to Ancient Greek History
AHIS1211,Greek Heroes and Heroines: From Achilles to Zorba
AHIS1220,Introduction to Roman History: The Republic in Crisis
AHIS1230,"Antiquity's Heirs: Barbarian Europe, Byzantium, and Islam"
AHIS1240,Ancient Israel and the Near East
AHIS1250,Ancient Egyptian Archaeology
AHIS1300,Digging up the Past: An Introduction to Archaeology
AHIS1301,World Archaeology
AHIS2000,Methods in Ancient History Seminar
AHIS2040,Ancient Greek Religion
AHIS2050,Biblical and Near Eastern Literature and History
AHIS2100,Ancient Languages in Context
AHIS2110,Ancient Greek B
AHIS2120,Latin B
AHIS2140,Ancient Hebrew B
AHIS2150,Hieroglyphic Egyptian B
AHIS2160,Coptic Egyptian B
AHIS2210,"Philip II, Alexander the Great, and the Macedonian Empire"
AHIS2211,Minos and Mycenae: The Aegean Bronze Age
AHIS2220,Ciceronian Rome
AHIS2230,From Constantine to Theoderic: The Roman World Transformed
AHIS2250,Ancient Egypt: Culture and Society
AHIS2251,Ancient Egyptian and Near Eastern Art: Theory and Practice
AHIS2253,Transition and Renewal: Religion in Roman and Late Antique Egypt
AHIS2300,Landscape Archaeology
AHIS2301,Archaeology of Death and Burial
AHIS2302,Archaeology and Society: Archaeological Evidence
AHIS3000,Advanced Reading Unit in Ancient History
AHIS3001,Material Culture and Museum Studies
AHIS3005,Cultural Heritage and Public History
AHIS3100,Ancient Languages Special Topic A
AHIS3101,Ancient Languages Special Topic B
AHIS3110,Ancient Greek C
AHIS3120,Latin C
AHIS3140,Ancient Hebrew C
AHIS3150,Hieroglyphic Egyptian C
AHIS3201,Women and Gender in the Ancient World
AHIS3202,A History of Magic: From the Magi to Merlin
AHIS3212,"Sparta and Greece, Archaic and Classical"
AHIS3220,Rome and the Caesars
AHIS3223,Frontiers and Empires: Conflict and Diplomacy in the Ancient World
AHIS3230,"Byzantium in the Age of the Emperors, 306-1453AD"
AHIS3241,Dialogue of Civilisations: Ancient Iran
AHIS3250,Ancient Egyptian Religion
AHIS3251,State Formation: Egypt and the Near East
AHIS3271,Religions along the Silk Road
AHIS3300,Archaeological Field Work
AHIS3302,Laboratory Methods of Archaeology
AHIS3303,Capstone Unit: Archaeology
